source,target,tgt_lng,src_lng,name_code_id
Hatakaze,旗风,zh-CN,en,140
Hatakaze META,旗风·META,zh-CN,en,522
Hatsuharu,初春,zh-CN,en,30
Hatsukaze,初风,zh-CN,en,122
Hatsushimo,初霜,zh-CN,en,129
Hatsuyuki,初雪,zh-CN,en,4
Hatsuzuki,初月,zh-CN,en,189
Heinrich,海因里希,zh-CN,en,454
Hibiki,响,zh-CN,en,12
Hiei,比叡,zh-CN,en,71
Hiei META,比叡·META,zh-CN,en,232
Hiei-chan,小比叡,zh-CN,en,169
Hindenburg,兴登堡,zh-CN,en,521
Hipper,希佩尔,zh-CN,en,426
Hiryuu,飞龙,zh-CN,en,94
Hiryuu META,飞龙·META,zh-CN,en,191
Hiyou,飞鹰,zh-CN,en,85
Hiyou META,飞鹰·META,zh-CN,en,220
Houshou,凤翔,zh-CN,en,89
Houshou META,凤翔·META,zh-CN,en,237
Hutten,乌尔里希,zh-CN,en,464
Hutten,胡滕,zh-CN,en,465
Hyuuga,日向,zh-CN,en,77
Hyuuga (Retrofit),日向.改,zh-CN,en,218
I-13,伊13,zh-CN,en,163
I-16,伊16,zh-CN,en,251
I-168,伊168,zh-CN,en,256
I-19,伊19,zh-CN,en,154
I-25,伊25,zh-CN,en,252
I-26,伊26,zh-CN,en,155
I-404,伊404,zh-CN,en,303
I-490,伊490,zh-CN,en,257
I-54,伊54,zh-CN,en,253
I-56,伊56,zh-CN,en,254
I-58,伊58,zh-CN,en,156
I-60,伊60,zh-CN,en,255
I-9,伊9,zh-CN,en,250
I-Type,伊型,zh-CN,en,285
Ibuki,伊吹,zh-CN,en,152
Ikazuchi,雷,zh-CN,en,13
Inazuma,电,zh-CN,en,14
Ingraham,英格拉罕,zh-CN,en,525
Iowa,衣阿华,zh-CN,en,201
Ise,伊势,zh-CN,en,76
Ise (Retrofit),伊势.改,zh-CN,en,217
Ise Production,伊势级量产型,zh-CN,en,177
Isokaze,矶风,zh-CN,en,143
Isuzu,五十铃,zh-CN,en,48
Isuzu Production,五十铃量产型,zh-CN,en,112
Izumo,出云,zh-CN,en,151
Jean Bart,让·巴尔,zh-CN,en,523
Jintsuu,神通,zh-CN,en,39
Jintsuu META,神通·META,zh-CN,en,293
Junyou,隼鹰,zh-CN,en,86
Junyou META,隼鹰·META,zh-CN,en,221
Kaga,加贺,zh-CN,en,92
Kagerou,阳炎,zh-CN,en,19
Kagerou Production,阳炎级量产型,zh-CN,en,107
Kaidai Type,海大型,zh-CN,en,281
Kaidai Type VIa,海大VI型a型,zh-CN,en,284
Kako,加古,zh-CN,en,54
Kamikaze,神风,zh-CN,en,124
Karlsruhe,卡尔斯鲁厄,zh-CN,en,422
Kashino,樫野,zh-CN,en,188
Kasumi,霞,zh-CN,en,180
Kasumi (Retrofit),霞.改,zh-CN,en,219
Kasumi META,霞·META,zh-CN,en,229
Katsuragi,葛城,zh-CN,en,208
Kawakaze,江风,zh-CN,en,158
Kawakaze META,江风·META,zh-CN,en,300
Kazagumo,风云,zh-CN,en,203
Kii,纪伊,zh-CN,en,80
Kinu,鬼怒,zh-CN,en,181
Kinugasa,衣笠,zh-CN,en,56
Kirishima,雾岛,zh-CN,en,73
Kisaragi,如月,zh-CN,en,34
Kitakami,北上,zh-CN,en,44
Kitakaze,北风,zh-CN,en,164
Kiyonami,清波,zh-CN,en,174
Kizu,木津,zh-CN,en,312
Kongou,金刚,zh-CN,en,70
Kongou μ,金刚(μ兵装),zh-CN,en,228
Kuma,球磨,zh-CN,en,43
Kuma Production,球磨级量产型,zh-CN,en,123
Kumano,熊野,zh-CN,en,60
Kuroshio,黑潮,zh-CN,en,21
Köln,科隆,zh-CN,en,423
Köln META,科隆·META,zh-CN,en,553
Königsberg,柯尼斯堡,zh-CN,en,421
Königsberg-class Production Model,柯尼斯堡级量产型,zh-CN,en,501
Leipzig,莱比锡,zh-CN,en,424
Li'l Sandy,小圣地亚哥,zh-CN,en,527
Little Friedrich,小腓特烈,zh-CN,en,535
Little Prinz Eugen,小欧根,zh-CN,en,458
Little Spee,小斯佩,zh-CN,en,459
Little Ägir,小埃吉尔,zh-CN,en,544
Lützow,吕佐夫,zh-CN,en,461
Magdeburg,马格德堡,zh-CN,en,447
Maikaze,舞风,zh-CN,en,130
Mainz,美因茨,zh-CN,en,479
Makinami,卷云,zh-CN,en,36
Makinami,卷波,zh-CN,en,162
Mass-Produced Admiral Hipper-class Mod I,希佩尔海军上将级量产型·改I,zh-CN,en,507
Mass-Produced Akagi Class MK 2,赤城级量产型T2,zh-CN,en,290
Mass-Produced Deutschland-classs Mod I,德意志级量产型·改I,zh-CN,en,505
Mass-Produced Fusou Class MK 2,扶桑级量产型T2,zh-CN,en,289
Mass-Produced Graf Zeppelin-class Mod I,齐柏林级量产型·改I,zh-CN,en,509
Mass-Produced Kongou Class,金刚级量产型,zh-CN,en,309
Mass-Produced Königsberg-class Mod I,柯尼斯堡级量产型·改I,zh-CN,en,506
Mass-Produced Mogami Class MK 2,最上级量产型T2,zh-CN,en,288
Mass-Produced Scharnhorst-class Mod I,沙恩霍斯特级量产型·改I,zh-CN,en,508
Mass-Produced Sendai Class MK 2,川内级量产型T2,zh-CN,en,287
Mass-Produced Yuugumo Class MK 2,夕云级量产型T2,zh-CN,en,286
Matsukaze,松风,zh-CN,en,134
Maya,摩耶,zh-CN,en,68
Mecklenburg,梅克伦堡,zh-CN,en,550
Michishio,满潮,zh-CN,en,147
Michitsuki,满月,zh-CN,en,187
Mikasa,三笠,zh-CN,en,82
Mikazuki,三日月,zh-CN,en,126
Mikuma,三隈,zh-CN,en,58
Minase,水无濑,zh-CN,en,306
Minazuki,水无月,zh-CN,en,133
Minekaze,峰风,zh-CN,en,1
Miyuki,深雪,zh-CN,en,5
Mogami,最上,zh-CN,en,57
Mogami (Retrofit),最上改,zh-CN,en,212
Mogami (Retrofit),最上.改,zh-CN,en,214
Mogami Production,最上级量产型,zh-CN,en,117
Morrison,莫里森,zh-CN,en,198
Musashi,武藏,zh-CN,en,84
Mutsu,陆奥,zh-CN,en,75
Mutsuki,睦月,zh-CN,en,33
Mutsuki Production,睦月级量产型,zh-CN,en,109
Myoukou,妙高,zh-CN,en,63
Myoukou Production,妙高级量产型,zh-CN,en,115
Nachi,那智,zh-CN,en,64
Naganami,长波,zh-CN,en,185
Nagara,长良,zh-CN,en,46
Nagara Production,长良级量产型,zh-CN,en,110
Nagato,长门,zh-CN,en,74
Nagato META,长门·META,zh-CN,en,230
Nagatsuki,长月,zh-CN,en,160
Naka,那珂,zh-CN,en,40
Nayoro,名寄,zh-CN,en,311
New Jersey,新泽西,zh-CN,en,199
Niizuki,新月,zh-CN,en,125
Noshiro,能代,zh-CN,en,50
Noshiro μ,能代(μ兵装),zh-CN,en,227
Nowaki,野分,zh-CN,en,24
Nürnberg,纽伦堡,zh-CN,en,446
Odin,奥丁,zh-CN,en,486
Oite,追风,zh-CN,en,192
Ooi,大井,zh-CN,en,45
Ooshio,大潮,zh-CN,en,146
Ooyodo,大淀,zh-CN,en,52
Otto,奥托,zh-CN,en,511
Otto von Alvensleben,奥托·冯·阿尔文斯莱本,zh-CN,en,510
Oumi,近江,zh-CN,en,304
Oyashio,亲潮,zh-CN,en,135
Parseval,帕塞瓦尔,zh-CN,en,483
Peter,彼得,zh-CN,en,471
Peter Strasser,彼得·史特拉塞,zh-CN,en,470
Prinz Adalbert,阿达尔伯特亲王,zh-CN,en,455
Prinz Eugen,欧根亲王,zh-CN,en,427
Prinz Eugen μ,欧根亲王(μ兵装),zh-CN,en,532
Prinz Heinrich,海因里希亲王,zh-CN,en,453
Prinz Rupprecht,鲁普雷希特亲王,zh-CN,en,484
Regensburg,雷根斯堡,zh-CN,en,516
Regensburg META,雷根斯堡·META,zh-CN,en,552
Roon,罗恩,zh-CN,en,439
Roon μ,罗恩(μ兵装),zh-CN,en,452
Rupprecht,鲁普雷希特,zh-CN,en,485
Ryuuhou,龙凤,zh-CN,en,179
Ryuujou,龙骧,zh-CN,en,90
Sakawa,酒匂,zh-CN,en,226
San Diego,圣地亚哥,zh-CN,en,524
San Diego Retrofit,圣地亚哥.改,zh-CN,en,528
San Francisco,旧金山,zh-CN,en,195
Sazanami,涟,zh-CN,en,9
SB2C Helldiver,SB2C地狱俯冲者,zh-CN,en,10003
Scharnhorst,沙恩霍斯特,zh-CN,en,433
Scharnhorst META,沙恩霍斯特·META,zh-CN,en,478
Scharnhorst-class Production Model,沙恩霍斯特级量产型,zh-CN,en,503
Seafang,海毒牙,zh-CN,en,10005
Second Carrier Division,二航战,zh-CN,en,101
Sendai,川内,zh-CN,en,38
Sendai Production,川内级量产型,zh-CN,en,111
Sentoku Type,潜特型,zh-CN,en,308
Seydlitz,塞德利茨,zh-CN,en,460
Shigure,时雨,zh-CN,en,17
Shikinami,敷波,zh-CN,en,7
Shikishima,敷岛,zh-CN,en,136
Shimakaze,岛风,zh-CN,en,18
Shimanto,四万十,zh-CN,en,292
Shinano,信浓,zh-CN,en,182
Shinano-chan,小信浓,zh-CN,en,534
Shiranui,不知火,zh-CN,en,20
Shiratsuyu,白露,zh-CN,en,15
Shiratsuyu Production,白露级量产型,zh-CN,en,106
Shirayuki,白雪,zh-CN,en,3
Shouhou,祥凤,zh-CN,en,87
Shoukaku,翔鹤,zh-CN,en,95
Souryuu,苍龙,zh-CN,en,93
Souryuu Meta,苍龙·META,zh-CN,en,205
Sovetsky Soyuz,苏维埃同盟,zh-CN,en,529
Soyuz,同盟,zh-CN,en,530
Spee,斯佩,zh-CN,en,432
Strasser,史特拉塞,zh-CN,en,472
Suruga,骏河,zh-CN,en,175
Suzukaze,凉风,zh-CN,en,149
Suzunami,凉波,zh-CN,en,234
Suzutsuki,凉月,zh-CN,en,27
Suzuya,铃谷,zh-CN,en,59
Taekaze,妙风,zh-CN,en,307
Taigei,大鲸,zh-CN,en,183
Taihou,大凤,zh-CN,en,97
Taihou META,大凤·META,zh-CN,en,238
Taihou μ,大凤(μ兵装),zh-CN,en,190
Taihou-chan,小大凤,zh-CN,en,291
Takao,高雄,zh-CN,en,66
Takao Production,高雄级量产型,zh-CN,en,116
Tanikaze,谷风,zh-CN,en,127
Tatsuta,龙田,zh-CN,en,42
Tenryuu,天龙,zh-CN,en,41
Tenzan,天山,zh-CN,en,10001
Tenzan Kai,天山改,zh-CN,en,10007
Thüringen,图林根,zh-CN,en,466
Ticonderoga,提康德罗加,zh-CN,en,194
Ticonderoga,提康,zh-CN,en,200
Tirpitz,提尔比茨,zh-CN,en,436
Tone,利根,zh-CN,en,61
Tosa,土佐,zh-CN,en,81
Type 0 Fighter Model 52,零战五二型,zh-CN,en,10000
Type A Mod. 2,巡潜甲型改二型,zh-CN,en,282
Type B Mod. 2,巡潜乙型改二型,zh-CN,en,283
Type B1,巡潜乙型,zh-CN,en,280
Type I Fubuki,特I型吹雪,zh-CN,en,167
Type II Ayanami,特II型绫波,zh-CN,en,166
Type III Akatsuki,特III型晓,zh-CN,en,168
U-37,U37,zh-CN,en,549
U-552,U552,zh-CN,en,548
U-556 META,U-556·META,zh-CN,en,515
U-556 META?,U-556.META？,zh-CN,en,517
Ulrich von Hutten,乌尔里希·冯·胡滕,zh-CN,en,463
Umikaze,海风,zh-CN,en,150
Unryuu,云龙,zh-CN,en,209
Urakaze,浦风,zh-CN,en,142
Uranami,浦波,zh-CN,en,184
Ushio,潮,zh-CN,en,10
Uzuki,卯月,zh-CN,en,137
Wakaba,若叶,zh-CN,en,141
Wakatsuki,若月,zh-CN,en,225
Watarase,渡良濑,zh-CN,en,231
Weser,威悉,zh-CN,en,467
Yahagi,矢矧,zh-CN,en,51
Yamakaze,山风,zh-CN,en,207
Yamashiro,山城,zh-CN,en,79
Yamashiro (Retrofit),山城改,zh-CN,en,132
Yamashiro (Retrofit),山城.改,zh-CN,en,216
Yamashiro META,山城·META,zh-CN,en,223
Yamato,大和,zh-CN,en,83
Yoizuki,宵月,zh-CN,en,28
York,约克,zh-CN,en,457
Yukikaze,雪风,zh-CN,en,22
Yura,由良,zh-CN,en,206
Yuubari,夕张,zh-CN,en,37
Yuudachi,夕立,zh-CN,en,16
Yuudachi (Retrofit),夕立.改,zh-CN,en,213
Yuudachi META,夕立·META,zh-CN,en,301
Yuugumo,夕云,zh-CN,en,35
Yuugumo Production,夕云级量产型,zh-CN,en,108
Yuugure,夕暮,zh-CN,en,32
Yuunagi,夕凪,zh-CN,en,153
Zara,扎拉,zh-CN,en,526
Zenker,曾克,zh-CN,en,547
Zeppelin,齐柏林,zh-CN,en,438
Zeppelin-class Production Model,齐柏林级量产型,zh-CN,en,504
Zeppy,小齐柏林,zh-CN,en,469
Zuihou,瑞凤,zh-CN,en,88
Zuikaku,瑞鹤,zh-CN,en,96
Ägir,埃吉尔,zh-CN,en,480
F6Fヘルキャット,F6F地狱猫,zh-CN,ja,10002
F6Fヘルキャット（HVAR搭載型）,F6F地狱猫（HVAR搭载型）,zh-CN,ja,10006
SB2Cヘルダイバー,SB2C地狱俯冲者,zh-CN,ja,10003
U-37,U37,zh-CN,ja,549
U-552,U552,zh-CN,ja,548
U-556(META),U-556·META,zh-CN,ja,515
U-556(META)？,U-556.META？,zh-CN,ja,517
アイオワ,衣阿华,zh-CN,ja,201
アウグスト・フォン・パーセヴァル,奥古斯特·冯·帕塞瓦尔,zh-CN,ja,481
アウグスト・フォン・パーセヴァル,奥古斯特,zh-CN,ja,482
アウグスト・フォン・パーセヴァル,帕塞瓦尔,zh-CN,ja,483
アドミラル·ヒッパー(μ兵装),希佩尔海军上将(μ兵装),zh-CN,ja,451
アドミラル・グラーフ・シュペー,斯佩伯爵海军上将,zh-CN,ja,430
アドミラル・グラーフ・シュペー,斯佩伯爵,zh-CN,ja,431
アドミラル・グラーフ・シュペー,斯佩,zh-CN,ja,432
アドミラル・ツェンカー,曾克海军上将,zh-CN,ja,546
アドミラル・ツェンカー,曾克,zh-CN,ja,547
アドミラル・ヒッパー,希佩尔海军上将,zh-CN,ja,425
アドミラル・ヒッパー,希佩尔,zh-CN,ja,426
アドミラル・ヒッパー(META),希佩尔海军上将·META,zh-CN,ja,543
アーチャーフィッシュ,射水鱼,zh-CN,ja,196
イングラハム,英格拉罕,zh-CN,ja,525
ウルリッヒ・フォン・フッテン,乌尔里希·冯·胡滕,zh-CN,ja,463
ウルリッヒ・フォン・フッテン,乌尔里希,zh-CN,ja,464
ウルリッヒ・フォン・フッテン,胡滕,zh-CN,ja,465
エムデン,埃姆登,zh-CN,ja,448
エルビング,埃尔宾,zh-CN,ja,449
エルベ,易北,zh-CN,ja,468
エーギル,埃吉尔,zh-CN,ja,480
エーギルちゃん,小埃吉尔,zh-CN,ja,544
オットー・フォン・アルフェンスレーベン,奥托·冯·阿尔文斯莱本,zh-CN,ja,510
オットー・フォン・アルフェンスレーベン,奥托,zh-CN,ja,511
オットー・フォン・アルフェンスレーベン,阿尔文斯莱本,zh-CN,ja,512
オットー・フォン・アルフェンスレーベン,阿尔文斯,zh-CN,ja,513
オーディン,奥丁,zh-CN,ja,486
カールスルーエ,卡尔斯鲁厄,zh-CN,ja,422
グナイゼナウ,格奈森瑙,zh-CN,ja,434
グナイゼナウ(META),格奈森瑙·META,zh-CN,ja,477
グラーフ・ツェッペリン,齐柏林伯爵,zh-CN,ja,437
グラーフ・ツェッペリン,齐柏林,zh-CN,ja,438
ケルン,科隆,zh-CN,ja,423
ケルン(META),科隆·META,zh-CN,ja,553
ケーニヒスベルク,柯尼斯堡,zh-CN,ja,421
サンディエゴ,圣地亚哥,zh-CN,ja,524
サンディエゴ改,圣地亚哥.改,zh-CN,ja,528
サンフランシスコ,旧金山,zh-CN,ja,195
ザイドリッツ,塞德利茨,zh-CN,ja,460
ザラ,扎拉,zh-CN,ja,526
シャルンホルスト,沙恩霍斯特,zh-CN,ja,433
シャルンホルスト(META),沙恩霍斯特·META,zh-CN,ja,478
シュペーちゃん,小斯佩,zh-CN,ja,459
シーファング,海毒牙,zh-CN,ja,10005
ジャン·バール,让·巴尔,zh-CN,ja,523
ソビエツキー,苏维埃同盟,zh-CN,ja,529
ソユーズ,同盟,zh-CN,ja,530
タイコンデロガ,提康德罗加,zh-CN,ja,194
ツェッペリンちゃん,小齐柏林,zh-CN,ja,469
ティルピッツ,提尔比茨,zh-CN,ja,436
テューリンゲン,图林根,zh-CN,ja,466
デュイスブルク,杜伊斯堡,zh-CN,ja,541
ドイッチュラント,德意志,zh-CN,ja,429
ニュルンベルク,纽伦堡,zh-CN,ja,446
ニュージャージー,新泽西,zh-CN,ja,199
ハルビン,哈尔滨,zh-CN,ja,224
バラオ,巴劳鱵,zh-CN,ja,202
ヒンデンブルク,兴登堡,zh-CN,ja,521
ビスマルク,俾斯麦,zh-CN,ja,435
ビスマルクZwei,俾斯麦Zwei,zh-CN,ja,514
フィリックス・シュルツ,菲利克斯·舒尔茨,zh-CN,ja,518
フィリックス・シュルツ,菲利克斯,zh-CN,ja,519
フィリックス・シュルツ,舒尔茨,zh-CN,ja,520
フリッツ・ルメイ,弗里茨·鲁梅,zh-CN,ja,542
フリードリヒちゃん,小腓特烈,zh-CN,ja,535
フリードリヒ・カール,腓特烈·卡尔,zh-CN,ja,531
フリードリヒ・デア・グローセ,腓特烈大帝,zh-CN,ja,440
フリードリヒ・デア・グローセ,腓特烈,zh-CN,ja,441
ブリュッヒャー,布吕歇尔,zh-CN,ja,450
ブリュンヒルデ,布伦希尔德,zh-CN,ja,462
プリンツ·オイゲン(μ兵装),欧根亲王(μ兵装),zh-CN,ja,532
プリンツ・アーダルベルト,阿达尔伯特亲王,zh-CN,ja,455
プリンツ・アーダルベルト,阿达尔伯特,zh-CN,ja,456
プリンツ・オイゲン,欧根亲王,zh-CN,ja,427
プリンツ・オイゲン,欧根,zh-CN,ja,428
プリンツ・オイゲンちゃん,小欧根,zh-CN,ja,458
プリンツ・ハインリヒ,海因里希亲王,zh-CN,ja,453
プリンツ・ハインリヒ,海因里希,zh-CN,ja,454
プリンツ・ループレヒト,鲁普雷希特亲王,zh-CN,ja,484
プリンツ・ループレヒト,鲁普雷希特,zh-CN,ja,485
ペーター・シュトラッサー,彼得·史特拉塞,zh-CN,ja,470
ペーター・シュトラッサー,彼得,zh-CN,ja,471
ペーター・シュトラッサー,史特拉塞,zh-CN,ja,472
ボイシ,博伊西,zh-CN,ja,197
ボイシ(META),博伊西·META,zh-CN,ja,551
ボイシ(μ兵装),博伊西(μ兵装),zh-CN,ja,533
マインツ,美因茨,zh-CN,ja,479
マクデブルク,马格德堡,zh-CN,ja,447
メークレンブルク,梅克伦堡,zh-CN,ja,550
モリソン,莫里森,zh-CN,ja,198
ヤーデ,亚德,zh-CN,ja,491
ヨルク,约克,zh-CN,ja,457
ライプツィヒ,莱比锡,zh-CN,ja,424
リトル·サンディエゴ,小圣地亚哥,zh-CN,ja,527
リュッツォウ,吕佐夫,zh-CN,ja,461
レーゲンスブルク,雷根斯堡,zh-CN,ja,516
レーゲンスブルク(META),雷根斯堡·META,zh-CN,ja,552
ローン,罗恩,zh-CN,ja,439
ローン(μ兵装),罗恩(μ兵装),zh-CN,ja,452
ヴェーザー,威悉,zh-CN,ja,467
一航戦,一航战,zh-CN,ja,100
二航戦,二航战,zh-CN,ja,101
五十鈴,五十铃,zh-CN,ja,48
五航戦,五航战,zh-CN,ja,102
伊勢,伊势,zh-CN,ja,76
伊勢改,伊势.改,zh-CN,ja,217
信濃,信浓,zh-CN,ja,182
信濃ちゃん,小信浓,zh-CN,ja,534
出雲,出云,zh-CN,ja,151
初風,初风,zh-CN,ja,122
加賀,加贺,zh-CN,ja,92
北風,北风,zh-CN,ja,164
千歳,千岁,zh-CN,ja,103
古鷹,古鹰,zh-CN,ja,53
夕張,夕张,zh-CN,ja,37
夕立(META),夕立·META,zh-CN,ja,301
夕立改,夕立.改,zh-CN,ja,213
夕雲,夕云,zh-CN,ja,35
大鯨,大鲸,zh-CN,ja,183
大鳳,大凤,zh-CN,ja,97
大鳳(μ兵装),大凤(μ兵装),zh-CN,ja,190
大鳳ちゃん,小大凤,zh-CN,ja,291
天城ちゃん,小天城,zh-CN,ja,193
天津風,天津风,zh-CN,ja,23
天龍,天龙,zh-CN,ja,41
妙風,妙风,zh-CN,ja,307
尾張,尾张,zh-CN,ja,295
山城(META),山城·META,zh-CN,ja,223
山風,山风,zh-CN,ja,207
峯風,峰风,zh-CN,ja,1
島風,岛风,zh-CN,ja,18
嵐,岚,zh-CN,ja,25
巡潜乙型改二,巡潜乙型改二型,zh-CN,ja,283
巡潜甲型改二,巡潜甲型改二型,zh-CN,ja,282
巻波,卷波,zh-CN,ja,162
巻雲,卷云,zh-CN,ja,36
帝国海軍,IJN,zh-CN,ja,99
愛宕,爱宕,zh-CN,ja,67
戦艦キリシマ,战舰·雾岛,zh-CN,ja,119
戦艦ヒエイ,战舰·比叡,zh-CN,ja,118
扶桑(META),扶桑·META,zh-CN,ja,210
敷島,敷岛,zh-CN,ja,136
旗風,旗风,zh-CN,ja,140
旗風(META),旗风·META,zh-CN,ja,522
日向改,日向.改,zh-CN,ja,218
春風,春风,zh-CN,ja,139
時雨,时雨,zh-CN,ja,17
暁,晓,zh-CN,ja,11
朝風,朝风,zh-CN,ja,138
松風,松风,zh-CN,ja,134
武蔵,武藏,zh-CN,ja,84
比叡(META),比叡·META,zh-CN,ja,232
比叡ちゃん,小比叡,zh-CN,ja,169
水無月,水无月,zh-CN,ja,133
水無瀬,水无濑,zh-CN,ja,306
江風,江风,zh-CN,ja,158
江風(META),江风·META,zh-CN,ja,300
浅間,浅间,zh-CN,ja,305
浜風,滨风,zh-CN,ja,128
浦風,浦风,zh-CN,ja,142
海大VI型a,海大VI型a型,zh-CN,ja,284
海風,海风,zh-CN,ja,150
涼月,凉月,zh-CN,ja,27
涼波,凉波,zh-CN,ja,234
涼風,凉风,zh-CN,ja,149
渡良瀬,渡良濑,zh-CN,ja,231
満月,满月,zh-CN,ja,187
満潮,满潮,zh-CN,ja,147
漣,涟,zh-CN,ja,9
特III型暁,特III型晓,zh-CN,ja,168
特II型綾波,特II型绫波,zh-CN,ja,166
瑞雲,瑞云,zh-CN,ja,10004
瑞鳳,瑞凤,zh-CN,ja,88
瑞鶴,瑞鹤,zh-CN,ja,96
白鳳,白凤,zh-CN,ja,302
白龍,白龙,zh-CN,ja,204
磯風,矶风,zh-CN,ja,143
神通(META),神通·META,zh-CN,ja,293
神風,神风,zh-CN,ja,124
祥鳳,祥凤,zh-CN,ja,87
空母アカギ,空母·赤城,zh-CN,ja,120
空母カガ,空母·加贺,zh-CN,ja,121
紀伊,纪伊,zh-CN,ja,80
綾波,绫波,zh-CN,ja,6
綾瀬,绫濑,zh-CN,ja,233
羽黒,羽黑,zh-CN,ja,65
翔鶴,翔鹤,zh-CN,ja,95
舞風,舞风,zh-CN,ja,130
若葉,若叶,zh-CN,ja,141
