category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
08_event,活动,EventName.810,沙勒的快乐♥情人节巡逻,シャーレのハッピー♡バレンタインパトロール,夏萊的快樂♡情人節巡邏,Schale's Happy ♥ Valentine Patrol,샬레의 해피♡발렌타인 순찰,แฮปปี้ ♡ วาเลนไทน์จากชาเล่ต์ ภาคสนาม,localization.json:EventName
08_event,活动,EventName.811,狐坂若藻的沉默与欢宴,狐坂ワカモの沈黙と祝宴,狐坂若藻的沉默與祝宴,Kosaka Wakamo's Silence and Feast,코사카 와카모의 침묵과 축연,ความเงียบและงานฉลอง ของโคซากะ วาคาโมะ,localization.json:EventName
08_event,活动,EventName.812,冒失修女与古书馆的魔法师,どたばたシスターと古書館の魔術師,冒失修女和古書館的魔術師,The Clumsy Sister and the Magician of the Old Library,덜렁대는 수녀님과 고서관의 마술사,ซิสเตอร์จอมโก๊ะกัง กับแม่มดแห่งห้องสมุดเก่า,localization.json:EventName
08_event,活动,EventName.813,不忍之心,不忍ノ心,不忍之心,An Unconcealed Heart,불인의 마음,หัวใจแห่งความอับโชค,localization.json:EventName
08_event,活动,EventName.814,阿拜多斯度假村重建对策委员会,アビドスリゾート復旧対策委員会,阿拜多斯渡假勝地復原對策委員會,Abydos Resort Restoration Task Force,아비도스 리조트 복구 대책위원회,คณะกรรมการแผนงานฟื้นฟู รีสอร์ตอะบิดอส,localization.json:EventName
08_event,活动,EventName.815,出差！百夜堂海之家加盟计划,出張！百夜堂海の家FC計画,出差！百夜堂大海之家加盟計畫,Business Trip! Momoyodou Beach Shack Franchise Plan,출장! 백야당 바다의 집 프랜차이즈 계획,ทริปดูงาน! ร้านเฮียกคิยาโค แผนการร้านสาขาริมทะเล,localization.json:EventName
08_event,活动,EventName.816,课后甜点故事 ～甜秘枪战～,放課後スイーツ物語 ～甘い秘密と銃撃戦～,放學後的甜點故事～甜祕密和槍擊戰～,After-School Sweets Story: Sweet Secrets and Shootouts,방과 후 디저트 이야기 ~달콤한 비밀과 총격전~,เรื่องเล่าชมรมของหวาน ~ความลับรสหวานกับดงปืน~,localization.json:EventName
08_event,活动,EventName.817,ON YOUR MARK @ MILLENNIUM,ON YOUR MARK ＠ MILLENNIUM,ON YOUR MARK @ MILLENNIUM,On your mark @ Millennium,ON YOUR MARK ＠ MILLENNIUM,ON YOUR MARK ＠ MILLENNIUM,localization.json:EventName
08_event,活动,EventName.818,"Get Set, Go! ～基沃托斯晄轮大会～","Get Set, Go！～キヴォトス晄輪大祭～","Get Set, Go! ～奇普托斯晄輪大祭～","Get Set, Go! Kivotos Halo Festival!","Get Set, Go! ~키보토스 황륜대제~","Get Set, Go! ~คิโวทอส ฮาโลเฟสติวัล~",localization.json:EventName
08_event,活动,EventName.819,圣堂的圣夜祝福～救护骑士团的礼物～,聖堂のメリークリスマス〜救護騎士団の贈り物〜,教堂的聖誕祝福～救護騎士團的禮物～,The Cathedral's Merry Christmas: Remedial Knights' Gift,성당의 메리 크리스마스 ~구호기사단의 선물~,งานฉลองคริสต์มาสแห่งมหาวิหาร ~ของขวัญจากชมรมอัศวินบรรเทาทุกข์~,localization.json:EventName
08_event,活动,EventName.820,新年开胃菜 ~一局定输赢~,喰積の 前にいささか～一番勝負～,正餐前的開胃年菜～一局定輸贏～,New Year's Aperitif ~One-and-Done Match~,새해의 아페리티프 ~신년 한판 승부~,ปีใหม่สุดป่วนกับมื้อเปิดเทศกาล ~ศึกตัดสินแห่งงานฉลอง~,localization.json:EventName
08_event,活动,EventName.821,虚妄圣所攻略战,虚妄のサンクトゥム攻略戦,虛假的聖所攻略戰,Operational Plan: Nisir's Summit,거짓된 성소 공략전,ปฏิบัติการบุกยึดหอคอยแห่งคำลวง,localization.json:EventName
08_event,活动,EventName.822,阿特拉哈西斯方舟占领战,アトラ・ハシースの箱舟占領戦,阿特拉哈西斯的方舟占領戰,The Ark of Atrahasis Conquest,아트라하시스의 방주 점령전,ปฏิบัติการยึดเรืออะทราฮาซิส,localization.json:EventName
08_event,活动,EventName.823,弗雷纳帕提斯决战,プレナパテス決戦,誘騙者決戰,Phrenapates Showdown,프레나파테스 결전,ศึกชี้ชะตาเพลนาพาเทส,localization.json:EventName
08_event,活动,EventName.824,修复工程：D.U.白鸟区,復旧作業：D.U.シラトリ区,修復作業：D.U.白鳥區,Restoration Project: D.U. Shiratori City,복구 작업: D.U. 시라토리구,ปฏิบัติการฟื้นฟู: เขตชิราโทริ D.U.,localization.json:EventName
08_event,活动,EventName.825,純白的預告信～虛飾之館與美學所在之處～,白亜の予告状～虚飾の館と美学の在り処～,純白的預告信～虛飾之館與美學所在之處～,Alabaster Calling Card: Mansion Masquerade and the Essence of Beauty,순백의 예고장 ~허식의 저택과 미학이 머무는 곳~,จดหมายเตือนสีขาว ~สุนทรียภาพในคฤหาสน์แห่งความหลอกลวง~,localization.json:EventName
08_event,活动,EventName.826,龍武同舟～心中描繪的，是同一個未來～,龍武同舟～思い描くは、ひとつの未来～,龍武同舟～心中描繪的，是同一個未來～,"Dragon & Tortoise, Working Together for a Better Future","용무동주 ~마음에 그리는 것은, 하나의 미래~",เต่ามังกรผนึกกำลัง ~อนาคตที่รวมเป็นหนึ่งดั่งใจปรารถนา~,localization.json:EventName
08_event,活动,EventName.827,夏日特殊作戰！RABBIT小隊與消失的蝦子之謎,夏の特殊作戦！RABBIT小隊と消えたエビの謎,夏日特殊作戰！RABBIT小隊與消失的蝦子之謎,Special Summer Mission! RABBIT SQUAD and the Mystery of the Missing Shrimp,여름 특수 작전! 사라진 새우를 향한 토끼의 추적,ปฏิบัติการพิเศษภาคฤดูร้อน! การไล่ล่าของกระต่าย และเรื่องเร้นลับของกุ้งที่หายไป,localization.json:EventName
08_event,活动,EventName.828,尋找隱藏的遺產～三一的課外活動～,隠されし遺産を求めて～トリニティの課外活動～,尋找隱藏的遺產～三一的課外活動～,Trinity Extracurriculars: In Search of Hidden Ruins,숨겨진 유산을 찾아서 ~트리니티 과외 활동~,ตามล่าสมบัติลับ ~คาบนอกหลักสูตรทรีนิตี้~,localization.json:EventName
08_event,活动,EventName.829,漫畫同人物語～2人所追求的最終回～,学漫同人物語～2人が求める最終回～,漫畫同人物語～2人所追求的最終回～,Academy Club Story: A Pair's Final Adventure,학원 동인 이야기 ~두 명이 도달한 최종회~,เรื่องราวของโดจินในโรงเรียน ~ตอนสุดท้ายจากทั้งสองคน~,localization.json:EventName
08_event,活动,EventName.830,Trip-Trap-Train,Trip-Trap-Train,Trip-Trap-Train,Trip-Trap-Train,Trip-Trap-Train,Trip-Trap-Train,localization.json:EventName
08_event,活动,EventName.831,科學青春紀錄,とある科学の青春記録,科學青春紀錄,A Certain Scientific Record of Youth,어떤 과학의 청춘기록,แฟ้มลับวัยรุ่น คดีวิทยาศาสตร์,localization.json:EventName
08_event,活动,EventName.832,電腦新春行進曲,（電脳）新春行進曲,電腦新春行進曲,Cyber New Year March,전뇌신춘행진곡,แก๊งสมองกล ชมภูเขารับฤดูใบไม้ผลิ,localization.json:EventName
08_event,活动,EventName.833,向陽前行 她們的小夜曲,陽ひらく彼女たちの小夜曲,向陽前行 她們的小夜曲,Basking in the Brilliance of Their Serenade,빛으로 나아가는 그녀들의 소야곡,แสงแห่งประกาย บทเพลงของเหล่าเด็กสาวยามค่ำคืน,localization.json:EventName
08_event,活动,EventName.834,来自歌剧 0068 的满腔爱意！,0068 オペラより愛をこめて！,來自歌劇 0068 的滿腔愛意！,From Opera 0068 with Love!,0068 오페라로부터 사랑을 담아서!,จากโอเปร่า 0068 แห่งความรัก!,localization.json:EventName
08_event,活动,EventName.835,熙熙攘攘 和和睦睦,にぎにぎと ゆきゆきて,熱熱鬧鬧 融融洽洽,Rowdy and Cheery,와글와글하며 오손도손하게,ทัวร์วุ่นวุ่น วัยรุ่นอลเวง,localization.json:EventName
08_event,活动,EventName.836,-ive aLIVE!,-ive aLIVE!,-ive aLIVE!,-ive aLIVE!,-ive aLIVE!,-ive aLIVE!,localization.json:EventName
08_event,活动,EventName.837,Say-Bing!,Say-Bing!,Say-Bing!,Say-Bing!,Say-Bing!,Say-Bing!,localization.json:EventName
08_event,活动,EventName.838,Sheside Outside,Sheside outside,Sheside Outside,Sheside Outside,Sheside outside,Sheside Outside,localization.json:EventName
08_event,活动,EventName.839,月华梦喧,月華夢騒,月華夢喧,月華夢騒,월화몽소,ห้วงฝันจันทร์ฉาย,localization.json:EventName
08_event,活动,EventName.840,五尘来降,五塵来降,五塵來降,五塵来降,오욕내강,ห้าสัมผัสย่างกราย,localization.json:EventName
08_event,活动,EventName.841,Serenade Promenade,Serenade Promenade,Serenade Promenade,Serenade Promenade,Serenade Promenade,Serenade Promenade,localization.json:EventName
08_event,活动,EventName.842,秘密的午夜派对 鸣钟时刻鬼捉人,秘密のミッドナイトパーティー～オニの手は鐘と共に～,秘密的午夜派對 鳴鐘時刻鬼捉人,秘密のミッドナイトパーティー～オニの手は鐘と共に～,비밀의 미드나잇 파티~종이 울리는 술래잡기~,ปาร์ตี้ลับกลางดึก : กระดิ่งในเงื้อมมือจอมมาร,localization.json:EventName
08_event,活动,EventName.60000,夏萊總結算,シャーレの総決算,夏萊總結算,Balancing Schale's Books,샬레 총결산,งบการเงินชาเล่ต์,localization.json:EventName
08_event,活动,EventName.70001,质点之树,セフィロトの樹,質點之樹,The Tree Of Sephiroth,The Tree Of Sephiroth,ต้นไม้แห่งเซฟิรอธ,localization.json:EventName
08_event,活动,StoryEvent.event_80000,情人节的约定,バレンタインの約束,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_801,樱花烂漫 祭典骚动,桜花爛漫お祭り騒ぎ！～空に徒花 地に忍び～,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_802,革命之伊凡·库帕拉,革命のイワン・クパーラ 髭とプリンとレッドウィンター,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_803,夏日天空的愿望清单,夏空のウィッシュリスト,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_804,日奈会长的夏日休假！,～風紀委員会行政官緊急特務命令～ヒナ委員長のなつやすみっ！,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_805,在梦幻岛玩捉迷藏,ネバーランドでつかまえて,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_806,船上的兔子追击者,船上のバニーチェイサー,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_807,初音未来的特别演出 in 基沃托斯,初音ミクのスペシャルライブ in キヴォトス～リハーサル篇～,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_808,227号温泉乡运营记录！,227号温泉郷の運営記録！ ～白い吐息は寄り添って～,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_809,第68号新春狂想曲,新春狂想曲 第68番,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_810,沙勒的快乐情人节巡逻·狐坂若藻的沉默与欢宴,シャーレのハッピー♡バレンタインパトロール狐坂ワカモの沈黙と祝宴,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_812,冒失修女和古书馆的魔法师,どたばたシスターと古書館の魔術師,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_813,不忍之心,不忍ノ心,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_814,阿拜多斯度假村重建对策委员会,アビドスリゾート復旧対策委員会,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_816,课后甜点故事·甜秘枪战,放課後スイーツ物語 甘い秘密と銃撃戦,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_817,ON YOUR MARK @ MILLENNIUM·基沃托斯晄轮大会,ON YOUR MARK @MILLENNIUM～キヴォトス晄輪大祭～,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_818,"Get Set,Go!·基沃托斯晄轮大会","Get Set,GO！ ～キヴォトス晄輪大祭～",,,,,translation_table.json:events
08_event,活动,StoryEvent.event_819,圣堂的圣夜祝福·救护骑士团的礼物,聖堂のメリークリスマス ～救護騎士団の贈り物～,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_820,新年开胃菜·一局定输赢,喰積の 前にいささか ～一番勝負～,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_821,虚妄圣所攻略战,連合作戦「F.SCT攻略戦」,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_822,阿特拉哈西斯方舟占领战,A-H.A占領戦,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_823,弗雷纳帕提斯决战,PHT決戦,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_824,D.U.白鸟区 修复工程,D.U.シラトリ区 復旧作業,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_825,纯白的预告信·虚饰之邸与美学所在之处,白亜の予告状～虚飾の館と美学の在り処～,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_826,龙武同舟·心中所绘，同一个未来,龍武同舟 ～思い描くは、ひとつの未来～,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_827,夏日特别行动！RABBIT小队与虾的消失之谜,夏の特殊作戦！RABBIT小隊と消えたエビの謎,,,,,translation_table.json:events
08_event,活动,StoryEvent.event_831,某科学的青春记录,とある科学の青春記録,,,,,translation_table.json:events
