source,target,tgt_lng,src_lng,ship_id,ship_type_zh,ship_type_en,nation_zh,nation_en,variant,zh_CN_form,zh_CN_standard,zh_CN_harmonised,same_source_alternatives
アドミラル·ヒッパー(μ兵装),Admiral Hipper μ,en-US,ja-JP,403071,重巡,Heavy Cruiser,铁血,Iron Blood,μ兵装,,希佩尔海军上将(μ兵装),芙兰希卡(μ兵装),
アドミラル・グラーフ・シュペー,Admiral Graf Spee,en-US,ja-JP,403051,重巡,Heavy Cruiser,铁血,Iron Blood,,,斯佩伯爵海军上将,休贝塔伯爵,
アドミラル・ツェンカー,Admiral Zenker,en-US,ja-JP,404071,战巡,Battlecruiser,铁血,Iron Blood,,,曾克海军上将,泽特,
アドミラル・ナヒーモフ,Admiral Nakhimov,en-US,ja-JP,799021,正航,Aircraft Carrier,北方联合,Northern Parliament,,,纳希莫夫海军上将,,
アドミラル・ヒッパー,Admiral Hipper,en-US,ja-JP,403011,重巡,Heavy Cruiser,铁血,Iron Blood,,,希佩尔海军上将,芙兰希卡,
アドミラル・ヒッパー(META),Admiral Hipper META,en-US,ja-JP,9703051,重巡,Heavy Cruiser,META,META,META,,希佩尔海军上将·META,芙兰希卡·META,
アドヴェンチャー・ギャレー,Adventure Galley,en-US,ja-JP,900465,风帆,Sailing Frigate,飓风船团,Tempesta,,,加里冒险号,,
アバークロンビー,Abercrombie,en-US,ja-JP,213041,重炮,Monitor,皇家,Royal Navy,,,阿贝克隆比,,
アマゾン,Amazon,en-US,ja-JP,201011,驱逐,Destroyer,皇家,Royal Navy,,,女将,,
アラバマ,Alabama,en-US,ja-JP,105201,战列,Battleship,白鹰,Eagle Union,,,阿拉巴马,,
アリシューザ,Arethusa,en-US,ja-JP,202131,轻巡,Light Cruiser,皇家,Royal Navy,,,阿瑞托莎,,
アリゾナ,Arizona,en-US,ja-JP,105041,战列,Battleship,白鹰,Eagle Union,,,亚利桑那,,
アリゾナ(META),Arizona META,en-US,ja-JP,9705031,战列,Battleship,META,META,META,,亚利桑那·META,,
アルザス,Alsace,en-US,ja-JP,805031,战列,Battleship,自由鸢尾,Iris Libre,,,阿尔萨斯,,
アルジェリー,Algérie,en-US,ja-JP,903021,重巡,Heavy Cruiser,维希教廷,Vichya Dominion,,,阿尔及利亚,,
アルジェリー(META),Algérie META,en-US,ja-JP,9703021,重巡,Heavy Cruiser,META,META,META,,阿尔及利亚·META,,
アルハンゲリスク,Arkhangelsk,en-US,ja-JP,705061,战列,Battleship,北方联合,Northern Parliament,,,阿尔汉格尔斯克,,
アルバコア,Albacore,en-US,ja-JP,108021,潜艇,Submarine,白鹰,Eagle Union,,,大青花鱼,,
アルバコア(μ兵装),Albacore μ,en-US,ja-JP,108051,潜艇,Submarine,白鹰,Eagle Union,μ兵装,,大青花鱼(μ兵装),,
アルビオン,Albion,en-US,ja-JP,206071,轻航,Light Carrier,皇家,Royal Navy,,,阿尔比恩,,
アルフレード・オリアーニ,Alfredo Oriani,en-US,ja-JP,601081,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,阿尔弗雷多·奥里亚尼,,
アルベルト・ディ・ジュッサーノ,Alberto di Giussano,en-US,ja-JP,602041,轻巡,Light Cruiser,撒丁帝国,Sardegna Empire,,,阿尔贝托·迪·朱塞诺,,
アルヴィト,Alvitr,en-US,ja-JP,404061,战巡,Battlecruiser,铁血,Iron Blood,,,亚尔薇特,,
アレン・M・サムナー,Allen M. Sumner,en-US,ja-JP,101451,驱逐,Destroyer,白鹰,Eagle Union,,,艾伦·萨姆纳,,
アンカレッジ,Anchorage,en-US,ja-JP,199031,重巡,Heavy Cruiser,白鹰,Eagle Union,,,安克雷奇,,
アンドレア・ドーリア,Andrea Doria,en-US,ja-JP,605071,战列,Battleship,撒丁帝国,Sardegna Empire,,,安德烈亚·多利亚,,
アヴローラ,Avrora,en-US,ja-JP,702011,轻巡,Light Cruiser,北方联合,Northern Parliament,,,阿芙乐尔,,
アーガス,Argus,en-US,ja-JP,206021,轻航,Light Carrier,皇家,Royal Navy,,,百眼巨人,,
アーク・ロイヤル,Ark Royal,en-US,ja-JP,207021,正航,Aircraft Carrier,皇家,Royal Navy,,,皇家方舟,,
アーク・ロイヤル(META),Royal.META,en-US,ja-JP,900334,正航,Aircraft Carrier,META,META,META,,皇家方舟·META,,
アーチャーフィッシュ,Archerfish,en-US,ja-JP,108061,潜艇,Submarine,白鹰,Eagle Union,,,射水鱼,喷水鱼,
アーデント,Ardent,en-US,ja-JP,201031,驱逐,Destroyer,皇家,Royal Navy,,,热心,,
イカルス,Icarus,en-US,ja-JP,201331,驱逐,Destroyer,皇家,Royal Navy,,,伊卡洛斯,,
イラストリアス,Illustrious,en-US,ja-JP,207031,正航,Aircraft Carrier,皇家,Royal Navy,,,光辉,,
イラストリアス(μ兵装),Illustrious μ,en-US,ja-JP,207111,正航,Aircraft Carrier,皇家,Royal Navy,μ兵装,,光辉(μ兵装),,
イングラハム,Ingraham,en-US,ja-JP,101481,驱逐,Destroyer,白鹰,Eagle Union,,,英格拉罕,格拉哈姆,
インディアナ,Indiana,en-US,ja-JP,105151,战列,Battleship,白鹰,Eagle Union,,,印第安纳,,
インディアナポリス,Indianapolis,en-US,ja-JP,103071,重巡,Heavy Cruiser,白鹰,Eagle Union,,,印第安纳波利斯,,
インディペンデンス,Independence,en-US,ja-JP,107221,轻航,Light Carrier,白鹰,Eagle Union,,,独立,,
イントレピッド,Intrepid,en-US,ja-JP,107111,正航,Aircraft Carrier,白鹰,Eagle Union,,,无畏,,
インドミタブル,Indomitable,en-US,ja-JP,207121,正航,Aircraft Carrier,皇家,Royal Navy,,,不挠,,
インプラカブル,Implacable,en-US,ja-JP,207071,正航,Aircraft Carrier,皇家,Royal Navy,,,怨仇,,
インペロ,Impero,en-US,ja-JP,607021,正航,Aircraft Carrier,撒丁帝国,Sardegna Empire,,,帝国,,
イーグル,Eagle,en-US,ja-JP,207011,正航,Aircraft Carrier,皇家,Royal Navy,,,鹰,,
ウィダー,Whydah,en-US,ja-JP,9600051,风帆,Sailing Frigate,飓风船团,Tempesta,,,维达号,,
ウィチタ,Wichita,en-US,ja-JP,103111,重巡,Heavy Cruiser,白鹰,Eagle Union,,,威奇塔,,
ウィチタ(META),Wichita META,en-US,ja-JP,9703041,重巡,Heavy Cruiser,META,META,META,,威奇塔·META,,
ウィリアム・D・ポーター,William D. Porter,en-US,ja-JP,101101,驱逐,Destroyer,白鹰,Eagle Union,,,威廉·D·波特,,
ウェストバージニア,West Virginia,en-US,ja-JP,105111,战列,Battleship,白鹰,Eagle Union,,,西弗吉尼亚,,
ウォースパイト,Warspite,en-US,ja-JP,205021,战列,Battleship,皇家,Royal Navy,,,厌战,,
ウゴリーノ・ヴィヴァルディ,Ugolino Vivaldi,en-US,ja-JP,601121,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,乌戈里诺·维瓦尔迪,,
ウルリッヒ・フォン・フッテン,Ulrich von Hutten,en-US,ja-JP,405031,战列,Battleship,铁血,Iron Blood,,,乌尔里希·冯·胡滕,乌尔里克·冯·胡贝尔,
エイジャックス,Ajax,en-US,ja-JP,202031,轻巡,Light Cruiser,皇家,Royal Navy,,,阿贾克斯,,
エクセター,Exeter,en-US,ja-JP,203081,重巡,Heavy Cruiser,皇家,Royal Navy,,,埃克塞特,,
エコー,Echo,en-US,ja-JP,201291,驱逐,Destroyer,皇家,Royal Navy,,,回声,,
エスキモー,Eskimo,en-US,ja-JP,201321,驱逐,Destroyer,皇家,Royal Navy,,,爱斯基摩人,,
エセックス,Essex,en-US,ja-JP,107091,正航,Aircraft Carrier,白鹰,Eagle Union,,,埃塞克斯,,
エディンバラ,Edinburgh,en-US,ja-JP,202111,轻巡,Light Cruiser,皇家,Royal Navy,,,爱丁堡,,
エペ,Épée,en-US,ja-JP,901061,驱逐,Destroyer,维希教廷,Vichya Dominion,,,重剑,,
エマヌエーレ・ペッサーニョ,Emanuele Pessagno,en-US,ja-JP,601091,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,埃曼努埃尔·佩萨格诺,,
エミール・ベルタン,Émile Bertin,en-US,ja-JP,802011,轻巡,Light Cruiser,自由鸢尾,Iris Libre,,,埃米尔·贝尔汀,,
エムデン,Emden,en-US,ja-JP,402071,轻巡,Light Cruiser,铁血,Iron Blood,,,埃姆登,埃玛,
エリーゼ,Elise,en-US,ja-JP,10600101,正航,Aircraft Carrier,联动阵营,Collab,,,伊莉丝,,
エルドリッジ,Eldridge,en-US,ja-JP,101261,驱逐,Destroyer,白鹰,Eagle Union,,,埃尔德里奇,,
エルビング,Elbing,en-US,ja-JP,402081,轻巡,Light Cruiser,铁血,Iron Blood,,,埃尔宾,埃尔薇菈,
エルベ,Elbe,en-US,ja-JP,406021,轻航,Light Carrier,铁血,Iron Blood,,,易北,埃尔斯贝特,
エレバス,Erebus,en-US,ja-JP,213011,重炮,Monitor,皇家,Royal Navy,,,黑暗界,,
エレバス(META),Erebus META,en-US,ja-JP,9713011,重炮,Monitor,META,META,META,,黑暗界·META,,
エンタープライズ,Enterprise,en-US,ja-JP,107061,正航,Aircraft Carrier,白鹰,Eagle Union,,,企业,,
エーギル,Ägir,en-US,ja-JP,499051,超巡,Large Cruiser,铁血,Iron Blood,,,埃吉尔,埃格妮丝,
エーギルちゃん,Little Ägir,en-US,ja-JP,403161,超巡,Large Cruiser,铁血,Iron Blood,,,小埃吉尔,小埃格妮丝,
エールウィン,Aylwin,en-US,ja-JP,101401,驱逐,Destroyer,白鹰,Eagle Union,,,艾尔温,,
オクラホマ,Oklahoma,en-US,ja-JP,105021,战列,Battleship,白鹰,Eagle Union,,,俄克拉荷马,,
オグネヴォイ,Ognevoy,en-US,ja-JP,701111,驱逐,Destroyer,北方联合,Northern Parliament,,,火力,,
オゾルノイ,Ozornoy,en-US,ja-JP,701131,驱逐,Destroyer,北方联合,Northern Parliament,,,顽皮,,
オットー・フォン・アルフェンスレーベン,Otto von Alvensleben,en-US,ja-JP,401991,驱逐,Destroyer,铁血,Iron Blood,,,奥托·冯·阿尔文斯莱本,奥莉薇娅·冯·阿诺德,
オブザーバー・零,Observer zero,en-US,ja-JP,900136,正航,Aircraft Carrier,白鹰,Eagle Union,,,观察者-零,,
オマハ,Omaha,en-US,ja-JP,102011,轻巡,Light Cruiser,白鹰,Eagle Union,,,奥马哈,,
オレグ,Oleg,en-US,ja-JP,702081,轻巡,Light Cruiser,北方联合,Northern Parliament,,,奥列格,,
オーディン,Odin,en-US,ja-JP,499041,战巡,Battlecruiser,铁血,Iron Blood,,,奥丁,沃登,
オーリック,Aulick,en-US,ja-JP,101131,驱逐,Destroyer,白鹰,Eagle Union,,,奥利克,,
オーロラ,Aurora,en-US,ja-JP,202151,轻巡,Light Cruiser,皇家,Royal Navy,,,欧若拉,,
カウペンス,Cowpens,en-US,ja-JP,107251,轻航,Light Carrier,白鹰,Eagle Union,,,科本斯,,
カサブランカ,Casablanca,en-US,ja-JP,106551,轻航,Light Carrier,白鹰,Eagle Union,,,卡萨布兰卡,,
カザン,Kazan,en-US,ja-JP,705091,战列,Battleship,北方联合,Northern Parliament,,,喀山,,
カッシン,Cassin,en-US,ja-JP,101031,驱逐,Destroyer,白鹰,Eagle Union,,,卡辛,,
カラビニエーレ,Carabiniere,en-US,ja-JP,601021,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,龙骑兵,,
カラビニエーレ(META),Carabiniere META,en-US,ja-JP,9701111,驱逐,Destroyer,META,META,META,,龙骑兵·META,,
カラ・イデアス,Kala Ideas,en-US,ja-JP,10900061,超巡,Large Cruiser,联动阵营,Collab,,,卡菈·伊迪亚斯,,
カリフォルニア,California,en-US,ja-JP,105081,战列,Battleship,白鹰,Eagle Union,,,加利福尼亚,,
カリブディス,Charybdis,en-US,ja-JP,202301,轻巡,Light Cruiser,皇家,Royal Navy,,,卡律布狄斯,,
カンザス,Kansas,en-US,ja-JP,199061,战列,Battleship,白鹰,Eagle Union,,,堪萨斯,,
カヴァラ,Cavalla,en-US,ja-JP,108031,潜艇,Submarine,白鹰,Eagle Union,,,棘鳍,,
カーク,Kalk,en-US,ja-JP,101371,驱逐,Destroyer,白鹰,Eagle Union,,,科尔克,,
カーリュー,Curlew,en-US,ja-JP,202221,轻巡,Light Cruiser,皇家,Royal Navy,,,杓鹬,,
カールスルーエ,Karlsruhe,en-US,ja-JP,402021,轻巡,Light Cruiser,铁血,Iron Blood,,,卡尔斯鲁厄,夏璐尔,
ガスコーニュ,Gascogne,en-US,ja-JP,900399,战列,Battleship,皇家,Royal Navy,,,加斯科涅,,
ガスコーニュ(μ兵装),Gascogne μ,en-US,ja-JP,905031,战列,Battleship,维希教廷,Vichya Dominion,μ兵装,,加斯科涅(μ兵装),,
ガラティア,Galatea,en-US,ja-JP,202141,轻巡,Light Cruiser,皇家,Royal Navy,,,加拉蒂亚,,
ガングート,Gangut,en-US,ja-JP,705011,战列,Battleship,北方联合,Northern Parliament,,,甘古特,,
ガングート(META),Gangut META,en-US,ja-JP,9705101,战列,Battleship,META,META,META,,甘古特·META,,
ガンズウェイ,Ganj-i-Sawai,en-US,ja-JP,900468,风帆,Sailing Frigate,飓风船团,Tempesta,,,冈依沙瓦号,,
キアサージ,Kearsarge,en-US,ja-JP,199041,航战,Aviation Battleship,白鹰,Eagle Union,,,奇尔沙治,,
キエフ,Kiev,en-US,ja-JP,701101,驱逐,Destroyer,北方联合,Northern Parliament,,,基辅,,
キズナアイ,Kizuna AI,en-US,ja-JP,10400011,驱逐,Destroyer,联动阵营,Collab,,,绊爱,,
キズナアイ・アニバーサリー,Anniversary Kizuna AI,en-US,ja-JP,10400031,正航,Aircraft Carrier,联动阵营,Collab,,,绊爱·Anniversary,,
キズナアイ・エレガント,Elegant Kizuna AI,en-US,ja-JP,10400021,重巡,Heavy Cruiser,联动阵营,Collab,,,绊爱·Elegant,,
キズナアイ・スーパーゲーマー,Super Gamer Kizuna AI,en-US,ja-JP,10400041,战列,Battleship,联动阵营,Collab,,,绊爱·SuperGamer,,
キュラソー,Curacoa,en-US,ja-JP,202211,轻巡,Light Cruiser,皇家,Royal Navy,,,库拉索,,
キング・ジョージ5世,King George V,en-US,ja-JP,205051,战列,Battleship,皇家,Royal Navy,,,英王乔治五世,,
キンバリー,Kimberly,en-US,ja-JP,101381,驱逐,Destroyer,白鹰,Eagle Union,,,金伯利,,
キンバリー(META),Kimberly META,en-US,ja-JP,9701041,驱逐,Destroyer,META,META,META,,金伯利·META,,
キーロフ,Kirov,en-US,ja-JP,702041,轻巡,Light Cruiser,北方联合,Northern Parliament,,,基洛夫,,
ギシャン,Guichen,en-US,ja-JP,802031,轻巡,Light Cruiser,自由鸢尾,Iris Libre,,,吉尚,,
ギャラント,Gallant,en-US,ja-JP,201391,驱逐,Destroyer,皇家,Royal Navy,,,勇气,,
クイビシェフ,Kuybyshev,en-US,ja-JP,702051,轻巡,Light Cruiser,北方联合,Northern Parliament,,,古比雪夫,,
クインシー,Quincy,en-US,ja-JP,103091,重巡,Heavy Cruiser,白鹰,Eagle Union,,,昆西,,
クイーン・アンズ・リベンジ,Queen Anne's Revenge,en-US,ja-JP,9600121,风帆,Sailing Frigate,飓风船团,Tempesta,,,安妮女王复仇号,,
クイーン・エリザベス,Queen Elizabeth,en-US,ja-JP,205011,战列,Battleship,皇家,Royal Navy,,,伊丽莎白女王,,
クイーン・エリザベス(META),Queen Elizabeth META,en-US,ja-JP,9705041,战列,Battleship,META,META,META,,伊丽莎白女王·META,,
クラウディア・バレンツ,Klaudia Valentz,en-US,ja-JP,10900021,轻航,Light Carrier,联动阵营,Collab,,,科洛蒂娅·巴兰茨,,
クラレンス・K・ブロンソン,Clarence K. Bronson,en-US,ja-JP,101551,驱逐,Destroyer,白鹰,Eagle Union,,,克拉伦斯·K·布朗森,,
クラースヌィイ・カフカース,Krasny Kavkaz,en-US,ja-JP,702091,轻巡,Light Cruiser,北方联合,Northern Parliament,,,红色山脉,,
クリーブランド,Cleveland,en-US,ja-JP,102091,轻巡,Light Cruiser,白鹰,Eagle Union,,,克利夫兰,,
クリーブランド(META),Cleveland META,en-US,ja-JP,9702091,轻巡,Light Cruiser,META,META,META,,克利夫兰·META,,
クリーブランド(μ兵装),Cleveland μ,en-US,ja-JP,102241,轻巡,Light Cruiser,白鹰,Eagle Union,μ兵装,,克利夫兰(μ兵装),,
クルスク,Kursk,en-US,ja-JP,703021,重巡,Heavy Cruiser,北方联合,Northern Parliament,,,库尔斯克,,
クレイヴン,Craven,en-US,ja-JP,101061,驱逐,Destroyer,白鹰,Eagle Union,,,克雷文,,
クレオパトラ,Cleopatra,en-US,ja-JP,202351,轻巡,Light Cruiser,皇家,Royal Navy,,,克利奥佩特拉,,
クレセント,Crescent,en-US,ja-JP,201091,驱逐,Destroyer,皇家,Royal Navy,,,新月,枥,
クレマンソー,Clemenceau,en-US,ja-JP,905021,战列,Battleship,维希教廷,Vichya Dominion,,,克莱蒙梭,,
クロンシュタット,Kronshtadt,en-US,ja-JP,718011,超巡,Large Cruiser,北方联合,Northern Parliament,,,喀琅施塔得,,
クーパー,Cooper,en-US,ja-JP,101441,驱逐,Destroyer,白鹰,Eagle Union,,,库珀,,
グアム,Guam,en-US,ja-JP,118021,超巡,Large Cruiser,白鹰,Eagle Union,,,关岛,,
グナイゼナウ,Gneisenau,en-US,ja-JP,404021,战巡,Battlecruiser,铁血,Iron Blood,,,格奈森瑙,奥古斯塔,
グナイゼナウ(META),Gneisenau META,en-US,ja-JP,900383,超巡,Large Cruiser,META,META,META,,格奈森瑙·META,奥古斯塔·META,
グラスゴー,Glasgow,en-US,ja-JP,202261,轻巡,Light Cruiser,皇家,Royal Navy,,,格拉斯哥,,
グラーフ・ツェッペリン,Graf Zeppelin,en-US,ja-JP,407011,正航,Aircraft Carrier,铁血,Iron Blood,,,齐柏林伯爵,海拉伯爵,
グリッドレイ,Gridley,en-US,ja-JP,101051,驱逐,Destroyer,白鹰,Eagle Union,,,格里德利,,
グリーンハート,Green Heart,en-US,ja-JP,10100081,正航,Aircraft Carrier,联动阵营,Collab,,,翡绿之心,,
グレミャーシュチ,Gremyashchy,en-US,ja-JP,701071,驱逐,Destroyer,北方联合,Northern Parliament,,,雷鸣,,
グレンヴィル,Grenville,en-US,ja-JP,201131,驱逐,Destroyer,皇家,Royal Navy,,,格伦维尔,,
グレンヴィル(META),Grenville META,en-US,ja-JP,9701071,驱逐,Destroyer,META,META,META,,格伦维尔·META,,
グロスター,Gloucester,en-US,ja-JP,202101,轻巡,Light Cruiser,皇家,Royal Navy,,,格罗斯特,,
グロズヌイ,Grozny,en-US,ja-JP,701021,驱逐,Destroyer,北方联合,Northern Parliament,,,威严,,
グロリアス,Glorious,en-US,ja-JP,207061,正航,Aircraft Carrier,皇家,Royal Navy,,,光荣,,
グロリアス(META),Glorious META,en-US,ja-JP,9707071,正航,Aircraft Carrier,META,META,META,,光荣·META,,
グローウォーム,Glowworm,en-US,ja-JP,201141,驱逐,Destroyer,皇家,Royal Navy,,,萤火虫,,
グロームキィ,Gromky,en-US,ja-JP,701081,驱逐,Destroyer,北方联合,Northern Parliament,,,洪亮,,
ケルサン,Kersaint,en-US,ja-JP,901041,驱逐,Destroyer,维希教廷,Vichya Dominion,,,凯尔圣,,
ケルン,Köln,en-US,ja-JP,402031,轻巡,Light Cruiser,铁血,Iron Blood,,,科隆,克劳迪亚,
ケルン(META),Köln META,en-US,ja-JP,9702101,轻巡,Light Cruiser,META,META,META,,科隆·META,克劳迪亚·META,
ケント,Kent,en-US,ja-JP,203031,重巡,Heavy Cruiser,皇家,Royal Navy,,,肯特,,
ケーニヒスベルク,Königsberg,en-US,ja-JP,402011,轻巡,Light Cruiser,铁血,Iron Blood,,,柯尼斯堡,阿尔伯缇娜,
コメット,Comet,en-US,ja-JP,201081,驱逐,Destroyer,皇家,Royal Navy,,,彗星,,
コロラド,Colorado,en-US,ja-JP,105091,战列,Battleship,白鹰,Eagle Union,,,科罗拉多,,
コロンビア,Columbia,en-US,ja-JP,102101,轻巡,Light Cruiser,白鹰,Eagle Union,,,哥伦比亚,,
コンコード,Concord,en-US,ja-JP,102181,轻巡,Light Cruiser,白鹰,Eagle Union,,,康克德,,
コンステレーション,Constellation,en-US,ja-JP,104011,战巡,Battlecruiser,白鹰,Eagle Union,,,星座,,
コンテ・ディ・カブール,Conte di Cavour,en-US,ja-JP,605051,战列,Battleship,撒丁帝国,Sardegna Empire,,,加富尔伯爵,,
ゴリツィア,Gorizia,en-US,ja-JP,603061,重巡,Heavy Cruiser,撒丁帝国,Sardegna Empire,,,戈里齐亚,,
ゴールデン・ハインド,Golden Hind,en-US,ja-JP,900464,风帆,Sailing Frigate,飓风船团,Tempesta,,,金鹿号,,
サウサンプトン,Southampton,en-US,ja-JP,202071,轻巡,Light Cruiser,皇家,Royal Navy,,,南安普顿,,
サウスダコタ,South Dakota,en-US,ja-JP,105141,战列,Battleship,白鹰,Eagle Union,,,南达科他,,
サセックス,Sussex,en-US,ja-JP,203091,重巡,Heavy Cruiser,皇家,Royal Navy,,,苏塞克斯,,
サッチャー,Thatcher,en-US,ja-JP,101121,驱逐,Destroyer,白鹰,Eagle Union,,,撒切尔,,
サフォーク,Suffolk,en-US,ja-JP,203041,重巡,Heavy Cruiser,皇家,Royal Navy,,,萨福克,,
サラトガ,Saratoga,en-US,ja-JP,107031,正航,Aircraft Carrier,白鹰,Eagle Union,,,萨拉托加,,
サンタフェ,Santa Fe,en-US,ja-JP,102341,轻巡,Light Cruiser,白鹰,Eagle Union,,,圣塔菲,,
サンディエゴ,San Diego,en-US,ja-JP,102081,轻巡,Light Cruiser,白鹰,Eagle Union,,,圣地亚哥,圣戴安娜,
サンフアン,San Juan,en-US,ja-JP,102221,轻巡,Light Cruiser,白鹰,Eagle Union,,,圣胡安,,
サンフランシスコ,San Francisco,en-US,ja-JP,103141,重巡,Heavy Cruiser,白鹰,Eagle Union,,,旧金山,雾城,
サン・ジャシント,San Jacinto,en-US,ja-JP,107301,轻航,Light Carrier,白鹰,Eagle Union,,,圣哈辛托,,
サン・マルチーニョ,São Martinho,en-US,ja-JP,900463,风帆,Sailing Frigate,飓风船团,Tempesta,,,圣马丁号,,
サン・ルイ,Saint Louis,en-US,ja-JP,899011,重巡,Heavy Cruiser,自由鸢尾,Iris Libre,,,路易九世,,
ザイドリッツ,Seydlitz,en-US,ja-JP,404031,战巡,Battlecruiser,铁血,Iron Blood,,,塞德利茨,桑德菈,
ザラ,Zara,en-US,ja-JP,603021,重巡,Heavy Cruiser,撒丁帝国,Sardegna Empire,,,扎拉,扎达尔,
シアトル,Seattle,en-US,ja-JP,199011,轻巡,Light Cruiser,白鹰,Eagle Union,,,西雅图,,
シェフィールド,Sheffield,en-US,ja-JP,202081,轻巡,Light Cruiser,皇家,Royal Navy,,,谢菲尔德,,
シェフィールド(META),Sheffield META,en-US,ja-JP,9702031,轻巡,Light Cruiser,META,META,META,,谢菲尔德·META,,
シェフィールド(μ兵装),Sheffield μ,en-US,ja-JP,202251,轻巡,Light Cruiser,皇家,Royal Navy,μ兵装,,谢菲尔德(μ兵装),,
シカゴ,Chicago,en-US,ja-JP,103041,重巡,Heavy Cruiser,白鹰,Eagle Union,,,芝加哥,,
シグニット,Cygnet,en-US,ja-JP,201101,驱逐,Destroyer,皇家,Royal Navy,,,小天鹅,,
シムス,Sims,en-US,ja-JP,101241,驱逐,Destroyer,白鹰,Eagle Union,,,西姆斯,,
シャルンホルスト,Scharnhorst,en-US,ja-JP,404011,战巡,Battlecruiser,铁血,Iron Blood,,,沙恩霍斯特,格尔林德,
シャルンホルスト(META),Scharnhorst META,en-US,ja-JP,9704021,战巡,Battlecruiser,META,META,META,,沙恩霍斯特·META,格尔林德·META,
シャングリラ,Shangri-La,en-US,ja-JP,107381,正航,Aircraft Carrier,白鹰,Eagle Union,,,香格里拉,,
シャンディ,Shandy,en-US,ja-JP,10600121,重巡,Heavy Cruiser,联动阵营,Collab,,,香迪,,
シャンパーニュ,Champagne,en-US,ja-JP,899021,战列,Battleship,自由鸢尾,Iris Libre,,,香槟,,
シュフラン,Suffren,en-US,ja-JP,803011,重巡,Heavy Cruiser,自由鸢尾,Iris Libre,,,絮弗伦,,
シュペーちゃん,Little Spee,en-US,ja-JP,403131,重巡,Heavy Cruiser,铁血,Iron Blood,,,小斯佩,小休贝塔,
シュルクーフ,Surcouf,en-US,ja-JP,808011,潜艇,Submarine,自由鸢尾,Iris Libre,,,絮库夫,,
シュロップシャー,Shropshire,en-US,ja-JP,203021,重巡,Heavy Cruiser,皇家,Royal Navy,,,什罗普郡,,
