source,target,tgt_lng,src_lng,category,category_zh,same_source_alternatives
dry dock,干船坞,zh-CN,en-US,naval_term,航海/军事术语,
Eagle Union,白鹰,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
Ensign,海军少尉,zh-CN,en-US,rank,军衔,
Equipment,装备,zh-CN,en-US,game_term,游戏术语,
escort,护航,zh-CN,en-US,naval_term,航海/军事术语,
Escort Carrier,护航航空母舰,zh-CN,en-US,hull_type,舰种,
Exercise,演习,zh-CN,en-US,game_term,游戏术语,
FFNF,自由法国海军（自由鸢尾）,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
fighter,战斗机,zh-CN,en-US,naval_term,航海/军事术语,
flagship,旗舰,zh-CN,en-US,naval_term,航海/军事术语,
fleet,舰队,zh-CN,en-US,naval_term,航海/军事术语,
Fleet,舰队,zh-CN,en-US,naval_term,航海/军事术语,
Fleet Admiral,海军元帅,zh-CN,en-US,rank,军衔,
flight deck,飞行甲板,zh-CN,en-US,naval_term,航海/军事术语,
flotilla,水雷战队,zh-CN,en-US,naval_term,航海/军事术语,
flying boat,飞行艇,zh-CN,en-US,naval_term,航海/军事术语,
Frigate,护卫舰,zh-CN,en-US,hull_type,舰种,
full load displacement,满载排水量,zh-CN,en-US,naval_term,航海/军事术语,
funnel,烟囱,zh-CN,en-US,naval_term,航海/军事术语,
Gunboat,炮舰,zh-CN,en-US,hull_type,舰种,
Heavy Cruiser,重巡洋舰,zh-CN,en-US,hull_type,舰种,
HMS,英国皇家海军（皇家）,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
HNLMS,荷兰皇家海军（郁金王国）,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
hull,船体,zh-CN,en-US,naval_term,航海/军事术语,
IJN,旧日本海军（重樱）,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
Iris Libre,自由鸢尾,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
Iron Blood,铁血,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
Kingdom of Tulipa,郁金王国,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
KMS,德国海军（铁血）,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
knot,节,zh-CN,en-US,naval_term,航海/军事术语,
Landing Ship,登陆舰,zh-CN,en-US,hull_type,舰种,
Large Cruiser,超巡洋舰,zh-CN,en-US,hull_type,舰种,
launched,下水,zh-CN,en-US,naval_term,航海/军事术语,
lead ship,首舰,zh-CN,en-US,naval_term,航海/军事术语,
Lieutenant,海军上尉,zh-CN,en-US,rank,军衔,
Lieutenant Commander,海军少校,zh-CN,en-US,rank,军衔,
Lieutenant Junior Grade,海军中尉,zh-CN,en-US,rank,军衔,
Light Carrier,轻型航空母舰,zh-CN,en-US,hull_type,舰种,
Light Cruiser,轻巡洋舰,zh-CN,en-US,hull_type,舰种,
Limit Break,突破,zh-CN,en-US,game_term,游戏术语,
machine gun,机枪,zh-CN,en-US,naval_term,航海/军事术语,
main fleet,主力舰队（后排）,zh-CN,en-US,naval_term,航海/军事术语,
main gun,主炮,zh-CN,en-US,naval_term,航海/军事术语,
mast,桅杆,zh-CN,en-US,naval_term,航海/军事术语,
Minelayer,布雷舰,zh-CN,en-US,hull_type,舰种,
Minesweeper,扫雷舰,zh-CN,en-US,hull_type,舰种,
MNF,法国海军（维希教廷）,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
Monitor,浅水重炮舰,zh-CN,en-US,hull_type,舰种,
MOT,飓风船团,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
Munition Ship,运输舰,zh-CN,en-US,hull_type,舰种,
name ship,同名舰,zh-CN,en-US,naval_term,航海/军事术语,
naval bombardment,舰炮射击,zh-CN,en-US,naval_term,航海/军事术语,
Northern Parliament,北方联合,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
Oath,誓约,zh-CN,en-US,game_term,游戏术语,
Oath Ring,誓约之戒,zh-CN,en-US,game_term,游戏术语,
Oil,石油,zh-CN,en-US,game_term,游戏术语,
oiler,油船,zh-CN,en-US,naval_term,航海/军事术语,
patrol,巡逻,zh-CN,en-US,naval_term,航海/军事术语,
PR Ship,决战方案,zh-CN,en-US,game_term,游戏术语,
radar,雷达,zh-CN,en-US,naval_term,航海/军事术语,
Rear Admiral,海军少将,zh-CN,en-US,rank,军衔,
reconnaissance,侦察,zh-CN,en-US,naval_term,航海/军事术语,
reconnaissance aircraft,侦察机,zh-CN,en-US,naval_term,航海/军事术语,
refit,改装,zh-CN,en-US,naval_term,航海/军事术语,
Repair Ship,维修舰,zh-CN,en-US,hull_type,舰种,
Research Ship,科研船,zh-CN,en-US,game_term,游戏术语,
Retrofit,改造,zh-CN,en-US,game_term,游戏术语,
RN,意大利皇家海军（撒丁帝国）,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
Royal Navy,皇家,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
Sailing Frigate,风帆舰,zh-CN,en-US,hull_type,舰种,
Sakura Empire,重樱,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
Sardegna Empire,撒丁帝国,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
scuttled,自沉,zh-CN,en-US,naval_term,航海/军事术语,
seaplane,水上飞机,zh-CN,en-US,naval_term,航海/军事术语,
Seaplane Tender,水上机母舰,zh-CN,en-US,hull_type,舰种,
searchlight,探照灯,zh-CN,en-US,naval_term,航海/军事术语,
secondary gun,副炮,zh-CN,en-US,naval_term,航海/军事术语,
Secretary Ship,秘书舰,zh-CN,en-US,game_term,游戏术语,
shipyard,造船厂,zh-CN,en-US,naval_term,航海/军事术语,
Siren,塞壬,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
sister ship,姐妹舰,zh-CN,en-US,naval_term,航海/军事术语,
Skill,技能,zh-CN,en-US,game_term,游戏术语,
SMS,德意志帝国海军,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
SN,苏联海军（北方联合）,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
sonar,声呐,zh-CN,en-US,naval_term,航海/军事术语,
sortie,出击,zh-CN,en-US,naval_term,航海/军事术语,
Sortie,出击,zh-CN,en-US,naval_term,航海/军事术语,
Specialized Bulin,特装型布里,zh-CN,en-US,game_term,游戏术语,
speed,航速,zh-CN,en-US,naval_term,航海/军事术语,
squadron,战队,zh-CN,en-US,naval_term,航海/军事术语,
SS,潜艇,zh-CN,en-US,hull_type,舰种,
SSV,潜水航母,zh-CN,en-US,hull_type,舰种,
standard displacement,标准排水量,zh-CN,en-US,naval_term,航海/军事术语,
stern,舰尾,zh-CN,en-US,naval_term,航海/军事术语,
Submarine,潜艇,zh-CN,en-US,hull_type,舰种,
Submarine Tender,潜艇母舰,zh-CN,en-US,hull_type,舰种,
sunk,击沉,zh-CN,en-US,naval_term,航海/军事术语,
task force,特混舰队,zh-CN,en-US,naval_term,航海/军事术语,
Tempesta,飓风船团,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
tonnage,吨位,zh-CN,en-US,naval_term,航海/军事术语,
torpedo,鱼雷,zh-CN,en-US,naval_term,航海/军事术语,
Torpedo Boat,鱼雷艇,zh-CN,en-US,hull_type,舰种,
torpedo bomber,鱼雷机,zh-CN,en-US,naval_term,航海/军事术语,
Torpedo Cruiser,鱼雷巡洋舰,zh-CN,en-US,hull_type,舰种,
torpedo tube,鱼雷发射管,zh-CN,en-US,naval_term,航海/军事术语,
turret,炮塔,zh-CN,en-US,naval_term,航海/军事术语,
UNIV,通用型,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
Universal Bulin,泛用型布里,zh-CN,en-US,game_term,游戏术语,
USS,美国海军（白鹰）,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
vanguard,先锋舰队（前排）,zh-CN,en-US,naval_term,航海/军事术语,
Vice Admiral,海军中将,zh-CN,en-US,rank,军衔,
Vichya Dominion,维希教廷,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
μ Equipment,μ兵装,zh-CN,en-US,game_term,游戏术语,
アイリス,自由鸢尾,zh-CN,ja-JP,navy_prefix,阵营/舰名前缀,
カタパルト,弹射器,zh-CN,ja-JP,naval_term,航海/军事术语,
サディア帝国,撒丁帝国,zh-CN,ja-JP,navy_prefix,阵营/舰名前缀,
スキル,技能,zh-CN,ja-JP,game_term,游戏术语,
セイレーン,塞壬,zh-CN,ja-JP,navy_prefix,阵营/舰名前缀,
ソナー,声呐,zh-CN,ja-JP,naval_term,航海/军事术语,
ダイヤ,钻石,zh-CN,ja-JP,game_term,游戏术语,
ドック,船坞,zh-CN,ja-JP,naval_term,航海/军事术语,
ネームシップ,首舰,zh-CN,ja-JP,naval_term,航海/军事术语,
ノット,节,zh-CN,ja-JP,naval_term,航海/军事术语,
ブリ,布里,zh-CN,ja-JP,game_term,游戏术语,
マスト,桅杆,zh-CN,ja-JP,naval_term,航海/军事术语,
レーダー,雷达,zh-CN,ja-JP,naval_term,航海/军事术语,
ロイヤル,皇家,zh-CN,ja-JP,navy_prefix,阵营/舰名前缀,
ヴィシア,维希教廷,zh-CN,ja-JP,navy_prefix,阵营/舰名前缀,
中佐,中佐（中校）,zh-CN,ja-JP,rank,军衔,
主力艦隊,主力舰队（后排）,zh-CN,ja-JP,naval_term,航海/军事术语,
主砲,主炮,zh-CN,ja-JP,naval_term,航海/军事术语,
乗員,舰员,zh-CN,ja-JP,naval_term,航海/军事术语,
乾ドック,干船坞,zh-CN,ja-JP,naval_term,航海/军事术语,
偵察,侦察,zh-CN,ja-JP,naval_term,航海/军事术语,
偵察機,侦察机,zh-CN,ja-JP,naval_term,航海/军事术语,
元帥,元帅,zh-CN,ja-JP,rank,军衔,
兵装,武装,zh-CN,ja-JP,naval_term,航海/军事术语,
出撃,出击,zh-CN,ja-JP,naval_term,航海/军事术语,
前衛,先锋舰队（前排）,zh-CN,ja-JP,naval_term,航海/军事术语,
副砲,副炮,zh-CN,ja-JP,naval_term,航海/军事术语,
北方連合,北方联合,zh-CN,ja-JP,navy_prefix,阵营/舰名前缀,
参謀長,参谋长,zh-CN,ja-JP,rank,军衔,
司令長官,司令长官,zh-CN,ja-JP,rank,军衔,
哨戒,巡逻,zh-CN,ja-JP,naval_term,航海/军事术语,
図面,图纸,zh-CN,ja-JP,naval_term,航海/军事术语,
基準排水量,标准排水量,zh-CN,ja-JP,naval_term,航海/军事术语,
大佐,大佐（上校）,zh-CN,ja-JP,rank,军衔,
大尉,大尉（上尉）,zh-CN,ja-JP,rank,军衔,
姉妹艦,姐妹舰,zh-CN,ja-JP,naval_term,航海/军事术语,
委託,委托,zh-CN,ja-JP,game_term,游戏术语,
寮,后宅,zh-CN,ja-JP,game_term,游戏术语,
対潜,反潜,zh-CN,ja-JP,naval_term,航海/军事术语,
封鎖,封锁,zh-CN,ja-JP,naval_term,航海/军事术语,
少佐,少佐（少校）,zh-CN,ja-JP,rank,军衔,
就役,服役,zh-CN,ja-JP,naval_term,航海/军事术语,
巡洋戦艦,战列巡洋舰,zh-CN,ja-JP,hull_type,舰种,
工作艦,维修舰,zh-CN,ja-JP,hull_type,舰种,
帆船,风帆舰,zh-CN,ja-JP,hull_type,舰种,
弾幕,弹幕,zh-CN,ja-JP,game_term,游戏术语,
急降下爆撃機,俯冲轰炸机,zh-CN,ja-JP,naval_term,航海/军事术语,
戦艦,战列舰,zh-CN,ja-JP,hull_type,舰种,
戦闘機,战斗机,zh-CN,ja-JP,naval_term,航海/军事术语,
戦隊,战队,zh-CN,ja-JP,naval_term,航海/军事术语,
掃海艇,扫雷艇,zh-CN,ja-JP,hull_type,舰种,
撃沈,击沉,zh-CN,ja-JP,naval_term,航海/军事术语,
旗艦,旗舰,zh-CN,ja-JP,naval_term,航海/军事术语,
東煌,东煌,zh-CN,ja-JP,navy_prefix,阵营/舰名前缀,
機動部隊,机动部队,zh-CN,ja-JP,naval_term,航海/军事术语,
機銃,机枪,zh-CN,ja-JP,naval_term,航海/军事术语,
正規空母,正规航空母舰,zh-CN,ja-JP,hull_type,舰种,
水上機,水上飞机,zh-CN,ja-JP,naval_term,航海/军事术语,
水上機母艦,水上机母舰,zh-CN,ja-JP,hull_type,舰种,
水雷戦隊,水雷战队,zh-CN,ja-JP,naval_term,航海/军事术语,
水雷艇,鱼雷艇,zh-CN,ja-JP,hull_type,舰种,
汎用型ブリ,泛用型布里,zh-CN,ja-JP,game_term,游戏术语,
満載排水量,满载排水量,zh-CN,ja-JP,naval_term,航海/军事术语,
演習,演习,zh-CN,ja-JP,game_term,游戏术语,
潜水空母,潜水航母,zh-CN,ja-JP,hull_type,舰种,
潜水艦,潜艇,zh-CN,ja-JP,hull_type,舰种,
煙突,烟囱,zh-CN,ja-JP,naval_term,航海/军事术语,
爆雷,深水炸弹,zh-CN,ja-JP,naval_term,航海/军事术语,
発射管,鱼雷发射管,zh-CN,ja-JP,naval_term,航海/军事术语,
白鷹,白鹰,zh-CN,ja-JP,navy_prefix,阵营/舰名前缀,
砲塔,炮塔,zh-CN,ja-JP,naval_term,航海/军事术语,
砲艦,炮舰,zh-CN,ja-JP,hull_type,舰种,
秘書艦,秘书舰,zh-CN,ja-JP,game_term,游戏术语,
級,级,zh-CN,ja-JP,naval_term,航海/军事术语,
自沈,自沉,zh-CN,ja-JP,naval_term,航海/军事术语,
航空巡洋艦,航空巡洋舰,zh-CN,ja-JP,hull_type,舰种,
航空戦艦,航空战列舰,zh-CN,ja-JP,hull_type,舰种,
航空母艦,航空母舰,zh-CN,ja-JP,hull_type,舰种,
航続距離,续航距离,zh-CN,ja-JP,naval_term,航海/军事术语,
船団,运输船队,zh-CN,ja-JP,naval_term,航海/军事术语,
艦尾,舰尾,zh-CN,ja-JP,naval_term,航海/军事术语,
艦橋,舰桥,zh-CN,ja-JP,naval_term,航海/军事术语,
艦砲射撃,舰炮射击,zh-CN,ja-JP,naval_term,航海/军事术语,
艦載機,舰载机,zh-CN,ja-JP,naval_term,航海/军事术语,
艦隊,舰队,zh-CN,ja-JP,naval_term,航海/军事术语,
艦首,舰首,zh-CN,ja-JP,naval_term,航海/军事术语,
装備,装备,zh-CN,ja-JP,game_term,游戏术语,
試作型ブリ,试作型布里,zh-CN,ja-JP,game_term,游戏术语,
誓約,誓约,zh-CN,ja-JP,game_term,游戏术语,
誓約の指輪,誓约之戒,zh-CN,ja-JP,game_term,游戏术语,
護衛,护航,zh-CN,ja-JP,naval_term,航海/军事术语,
護衛空母,护航航空母舰,zh-CN,ja-JP,hull_type,舰种,
資材,物资,zh-CN,ja-JP,game_term,游戏术语,
超甲型巡洋艦,超巡洋舰,zh-CN,ja-JP,hull_type,舰种,
軽巡洋艦,轻巡洋舰,zh-CN,ja-JP,hull_type,舰种,
軽空母,轻型航空母舰,zh-CN,ja-JP,hull_type,舰种,
輸送艦,运输舰,zh-CN,ja-JP,hull_type,舰种,
速力,航速,zh-CN,ja-JP,naval_term,航海/军事术语,
造船所,造船厂,zh-CN,ja-JP,naval_term,航海/军事术语,
連合艦隊,联合舰队,zh-CN,ja-JP,navy_prefix,阵营/舰名前缀,
進水,下水,zh-CN,ja-JP,naval_term,航海/军事术语,
重巡洋艦,重巡洋舰,zh-CN,ja-JP,hull_type,舰种,
重桜,重樱,zh-CN,ja-JP,navy_prefix,阵营/舰名前缀,
重雷装巡洋艦,鱼雷巡洋舰,zh-CN,ja-JP,hull_type,舰种,
鉄血,铁血,zh-CN,ja-JP,navy_prefix,阵营/舰名前缀,
限界突破,突破,zh-CN,ja-JP,game_term,游戏术语,
雷撃機,鱼雷机,zh-CN,ja-JP,naval_term,航海/军事术语,
飛行甲板,飞行甲板,zh-CN,ja-JP,naval_term,航海/军事术语,
駆逐艦,驱逐舰,zh-CN,ja-JP,hull_type,舰种,
高角砲,防空炮,zh-CN,ja-JP,naval_term,航海/军事术语,
魚雷,鱼雷,zh-CN,ja-JP,naval_term,航海/军事术语,
μ장비,μ兵装,zh-CN,ko-KR,game_term,游戏术语,
갑판장갑,甲板装甲,zh-CN,ko-KR,naval_term,航海/军事术语,
개장,改装,zh-CN,ko-KR,naval_term,航海/军事术语,
개조,改造,zh-CN,ko-KR,game_term,游戏术语,
건선거,干船坞,zh-CN,ko-KR,naval_term,航海/军事术语,
격침,击沉,zh-CN,ko-KR,naval_term,航海/军事术语,
결전 방안,决战方案,zh-CN,ko-KR,game_term,游戏术语,
경순양함,轻巡洋舰,zh-CN,ko-KR,hull_type,舰种,
경항공모함,轻型航空母舰,zh-CN,ko-KR,hull_type,舰种,
공작함,维修舰,zh-CN,ko-KR,hull_type,舰种,
구축함,驱逐舰,zh-CN,ko-KR,hull_type,舰种,
급,级,zh-CN,ko-KR,naval_term,航海/军事术语,
급강하 폭격기,俯冲轰炸机,zh-CN,ko-KR,naval_term,航海/军事术语,
기동부대,机动部队,zh-CN,ko-KR,naval_term,航海/军事术语,
기뢰부설함,布雷舰,zh-CN,ko-KR,hull_type,舰种,
기준배수량,标准排水量,zh-CN,ko-KR,naval_term,航海/军事术语,
기총,机枪,zh-CN,ko-KR,naval_term,航海/军事术语,
기함,旗舰,zh-CN,ko-KR,naval_term,航海/军事术语,
네덜란드 왕립 해군,荷兰皇家海军（郁金王国）,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
네임십,首舰,zh-CN,ko-KR,naval_term,航海/军事术语,
노트,节,zh-CN,ko-KR,naval_term,航海/军事术语,
뇌격기,鱼雷机,zh-CN,ko-KR,naval_term,航海/军事术语,
다이아,钻石,zh-CN,ko-KR,game_term,游戏术语,
대공포,防空炮,zh-CN,ko-KR,naval_term,航海/军事术语,
대령,大佐（上校）,zh-CN,ko-KR,rank,军衔,海军上校 [ko-KR 军衔] | 大佐（上校） [ko-KR 军衔]
대령,海军上校,zh-CN,ko-KR,rank,军衔,海军上校 [ko-KR 军衔] | 大佐（上校） [ko-KR 军衔]
대위,大尉（上尉）,zh-CN,ko-KR,rank,军衔,海军上尉 [ko-KR 军衔] | 大尉（上尉） [ko-KR 军衔]
대위,海军上尉,zh-CN,ko-KR,rank,军衔,海军上尉 [ko-KR 军衔] | 大尉（上尉） [ko-KR 军衔]
대잠,反潜,zh-CN,ko-KR,naval_term,航海/军事术语,
대잠전,反潜作战,zh-CN,ko-KR,naval_term,航海/军事术语,
대장,大将,zh-CN,ko-KR,rank,军衔,海军上将 [ko-KR 军衔] | 大将 [ko-KR 军衔]
대장,海军上将,zh-CN,ko-KR,rank,军衔,海军上将 [ko-KR 军衔] | 大将 [ko-KR 军衔]
대형순양함,超巡洋舰,zh-CN,ko-KR,hull_type,舰种,
도면,图纸,zh-CN,ko-KR,naval_term,航海/军事术语,
도크,船坞,zh-CN,ko-KR,naval_term,航海/军事术语,
독일 제국 해군,德意志帝国海军,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
독일 해군,德国海军（铁血）,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
동명함,同名舰,zh-CN,ko-KR,naval_term,航海/军事术语,
동황,东煌,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
레이더,雷达,zh-CN,ko-KR,naval_term,航海/军事术语,
로열 네이비,皇家,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
마스트,桅杆,zh-CN,ko-KR,naval_term,航海/军事术语,
만재배수량,满载排水量,zh-CN,ko-KR,naval_term,航海/军事术语,
메탈 블러드,铁血,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
모니터함,浅水重炮舰,zh-CN,ko-KR,hull_type,舰种,
무장,武装,zh-CN,ko-KR,naval_term,航海/军事术语,
미사일 구축함,导弹驱逐舰,zh-CN,ko-KR,hull_type,舰种,
미합중국 해군,美国海军（白鹰）,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
배수량,排水量,zh-CN,ko-KR,naval_term,航海/军事术语,
범선,风帆舰,zh-CN,ko-KR,hull_type,舰种,
범용형,通用型,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
범용형 부린,泛用型布里,zh-CN,ko-KR,game_term,游戏术语,
보조장비,设备,zh-CN,ko-KR,game_term,游戏术语,
봉쇄,封锁,zh-CN,ko-KR,naval_term,航海/军事术语,
부린,布里,zh-CN,ko-KR,game_term,游戏术语,
부포,副炮,zh-CN,ko-KR,naval_term,航海/军事术语,
북방연합,北方联合,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
비서함,秘书舰,zh-CN,ko-KR,game_term,游戏术语,
비시아 성좌,维希教廷,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
비행갑판,飞行甲板,zh-CN,ko-KR,naval_term,航海/军事术语,
비행정,飞行艇,zh-CN,ko-KR,naval_term,航海/军事术语,
사령장관,司令长官,zh-CN,ko-KR,rank,军衔,
사르데냐 제국,撒丁帝国,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
사쿠라 엠파이어,重樱,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
상륙함,登陆舰,zh-CN,ko-KR,hull_type,舰种,
서약,誓约,zh-CN,ko-KR,game_term,游戏术语,
서약의 반지,誓约之戒,zh-CN,ko-KR,game_term,游戏术语,
석유,石油,zh-CN,ko-KR,game_term,游戏术语,
선봉함대,先锋舰队（前排）,zh-CN,ko-KR,naval_term,航海/军事术语,
선체,船体,zh-CN,ko-KR,naval_term,航海/军事术语,
성정,心智,zh-CN,ko-KR,game_term,游戏术语,
성정 유닛,心智单元,zh-CN,ko-KR,game_term,游戏术语,
세이렌,塞壬,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
소나,声呐,zh-CN,ko-KR,naval_term,航海/军事术语,
소련 해군,苏联海军（北方联合）,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
소령,少佐（少校）,zh-CN,ko-KR,rank,军衔,海军少校 [ko-KR 军衔] | 少佐（少校） [ko-KR 军衔]
소령,海军少校,zh-CN,ko-KR,rank,军衔,海军少校 [ko-KR 军衔] | 少佐（少校） [ko-KR 军衔]
소위,少尉,zh-CN,ko-KR,rank,军衔,海军少尉 [ko-KR 军衔] | 少尉 [ko-KR 军衔]
소위,海军少尉,zh-CN,ko-KR,rank,军衔,海军少尉 [ko-KR 军衔] | 少尉 [ko-KR 军衔]
소장,少将,zh-CN,ko-KR,rank,军衔,海军少将 [ko-KR 军衔] | 少将 [ko-KR 军衔]
소장,海军少将,zh-CN,ko-KR,rank,军衔,海军少将 [ko-KR 军衔] | 少将 [ko-KR 军衔]
소해정,扫雷艇,zh-CN,ko-KR,hull_type,舰种,
소해함,扫雷舰,zh-CN,ko-KR,hull_type,舰种,
속력,航速,zh-CN,ko-KR,naval_term,航海/军事术语,
수뢰전대,水雷战队,zh-CN,ko-KR,naval_term,航海/军事术语,
수상기,水上飞机,zh-CN,ko-KR,naval_term,航海/军事术语,
수상기모함,水上机母舰,zh-CN,ko-KR,hull_type,舰种,
수송선단,运输船队,zh-CN,ko-KR,naval_term,航海/军事术语,
수송함,运输舰,zh-CN,ko-KR,hull_type,舰种,
숙소,后宅,zh-CN,ko-KR,game_term,游戏术语,
순양전함,战列巡洋舰,zh-CN,ko-KR,hull_type,舰种,
스킬,技能,zh-CN,ko-KR,game_term,游戏术语,
승조원,舰员,zh-CN,ko-KR,naval_term,航海/军事术语,
시제형 부린,试作型布里,zh-CN,ko-KR,game_term,游戏术语,
아이리스 리브르,自由鸢尾,zh-CN,ko-KR,navy_prefix,阵营/舰名前缀,
어뢰,鱼雷,zh-CN,ko-KR,naval_term,航海/军事术语,
어뢰발사관,鱼雷发射管,zh-CN,ko-KR,naval_term,航海/军事术语,
어뢰순양함,鱼雷巡洋舰,zh-CN,ko-KR,hull_type,舰种,
어뢰정,鱼雷艇,zh-CN,ko-KR,hull_type,舰种,
연구함,科研船,zh-CN,ko-KR,game_term,游戏术语,
연돌,烟囱,zh-CN,ko-KR,naval_term,航海/军事术语,
