source,target,tgt_lng,src_lng,category,category_zh,same_source_alternatives
Sailing Frigate,帆船,ja-JP,en-US,hull_type,舰种,
Sakura Empire,重桜,ja-JP,en-US,navy_prefix,阵营/舰名前缀,
Sardegna Empire,サディア帝国,ja-JP,en-US,navy_prefix,阵营/舰名前缀,
scuttled,自沈,ja-JP,en-US,naval_term,航海/军事术语,
seaplane,水上機,ja-JP,en-US,naval_term,航海/军事术语,
Seaplane Tender,水上機母艦,ja-JP,en-US,hull_type,舰种,
searchlight,探照灯,ja-JP,en-US,naval_term,航海/军事术语,
secondary gun,副砲,ja-JP,en-US,naval_term,航海/军事术语,
Secretary Ship,秘書艦,ja-JP,en-US,game_term,游戏术语,
shipyard,造船所,ja-JP,en-US,naval_term,航海/军事术语,
Siren,セイレーン,ja-JP,en-US,navy_prefix,阵营/舰名前缀,
sister ship,姉妹艦,ja-JP,en-US,naval_term,航海/军事术语,
Skill,スキル,ja-JP,en-US,game_term,游戏术语,
sonar,ソナー,ja-JP,en-US,naval_term,航海/军事术语,
sortie,出撃,ja-JP,en-US,naval_term,航海/军事术语,
Sortie,出撃,ja-JP,en-US,naval_term,航海/军事术语,
speed,速力,ja-JP,en-US,naval_term,航海/军事术语,
squadron,戦隊,ja-JP,en-US,naval_term,航海/军事术语,
SS,潜水艦,ja-JP,en-US,hull_type,舰种,
SSV,潜水空母,ja-JP,en-US,hull_type,舰种,
standard displacement,基準排水量,ja-JP,en-US,naval_term,航海/军事术语,
stern,艦尾,ja-JP,en-US,naval_term,航海/军事术语,
Submarine,潜水艦,ja-JP,en-US,hull_type,舰种,
sunk,撃沈,ja-JP,en-US,naval_term,航海/军事术语,
torpedo,魚雷,ja-JP,en-US,naval_term,航海/军事术语,
Torpedo Boat,水雷艇,ja-JP,en-US,hull_type,舰种,
torpedo bomber,雷撃機,ja-JP,en-US,naval_term,航海/军事术语,
Torpedo Cruiser,重雷装巡洋艦,ja-JP,en-US,hull_type,舰种,
torpedo tube,発射管,ja-JP,en-US,naval_term,航海/军事术语,
turret,砲塔,ja-JP,en-US,naval_term,航海/军事术语,
Universal Bulin,汎用型ブリ,ja-JP,en-US,game_term,游戏术语,
vanguard,前衛,ja-JP,en-US,naval_term,航海/军事术语,
Vichya Dominion,ヴィシア,ja-JP,en-US,navy_prefix,阵营/舰名前缀,
μ Equipment,μ兵装,ja-JP,en-US,game_term,游戏术语,
μ장비,μ兵装,ja-JP,ko-KR,game_term,游戏术语,
개장,改装,ja-JP,ko-KR,naval_term,航海/军事术语,
개조,改造,ja-JP,ko-KR,game_term,游戏术语,
건선거,乾ドック,ja-JP,ko-KR,naval_term,航海/军事术语,
격침,撃沈,ja-JP,ko-KR,naval_term,航海/军事术语,
경순양함,軽巡洋艦,ja-JP,ko-KR,hull_type,舰种,
경항공모함,軽空母,ja-JP,ko-KR,hull_type,舰种,
공작함,工作艦,ja-JP,ko-KR,hull_type,舰种,
구축함,駆逐艦,ja-JP,ko-KR,hull_type,舰种,
급,級,ja-JP,ko-KR,naval_term,航海/军事术语,
급강하 폭격기,急降下爆撃機,ja-JP,ko-KR,naval_term,航海/军事术语,
기동부대,機動部隊,ja-JP,ko-KR,naval_term,航海/军事术语,
기준배수량,基準排水量,ja-JP,ko-KR,naval_term,航海/军事术语,
기총,機銃,ja-JP,ko-KR,naval_term,航海/军事术语,
기함,旗艦,ja-JP,ko-KR,naval_term,航海/军事术语,
네임십,ネームシップ,ja-JP,ko-KR,naval_term,航海/军事术语,
노트,ノット,ja-JP,ko-KR,naval_term,航海/军事术语,
뇌격기,雷撃機,ja-JP,ko-KR,naval_term,航海/军事术语,
다이아,ダイヤ,ja-JP,ko-KR,game_term,游戏术语,
대공포,高角砲,ja-JP,ko-KR,naval_term,航海/军事术语,
대령,大佐,ja-JP,ko-KR,rank,军衔,
대위,大尉,ja-JP,ko-KR,rank,军衔,
대잠,対潜,ja-JP,ko-KR,naval_term,航海/军事术语,
대장,大将,ja-JP,ko-KR,rank,军衔,
대형순양함,超甲型巡洋艦,ja-JP,ko-KR,hull_type,舰种,
도면,図面,ja-JP,ko-KR,naval_term,航海/军事术语,
도크,ドック,ja-JP,ko-KR,naval_term,航海/军事术语,
동황,東煌,ja-JP,ko-KR,navy_prefix,阵营/舰名前缀,
레이더,レーダー,ja-JP,ko-KR,naval_term,航海/军事术语,
로열 네이비,ロイヤル,ja-JP,ko-KR,navy_prefix,阵营/舰名前缀,
마스트,マスト,ja-JP,ko-KR,naval_term,航海/军事术语,
만재배수량,満載排水量,ja-JP,ko-KR,naval_term,航海/军事术语,
메탈 블러드,鉄血,ja-JP,ko-KR,navy_prefix,阵营/舰名前缀,
무장,兵装,ja-JP,ko-KR,naval_term,航海/军事术语,
배수량,排水量,ja-JP,ko-KR,naval_term,航海/军事术语,
범선,帆船,ja-JP,ko-KR,hull_type,舰种,
범용형 부린,汎用型ブリ,ja-JP,ko-KR,game_term,游戏术语,
봉쇄,封鎖,ja-JP,ko-KR,naval_term,航海/军事术语,
부린,ブリ,ja-JP,ko-KR,game_term,游戏术语,
부포,副砲,ja-JP,ko-KR,naval_term,航海/军事术语,
북방연합,北方連合,ja-JP,ko-KR,navy_prefix,阵营/舰名前缀,
비서함,秘書艦,ja-JP,ko-KR,game_term,游戏术语,
비시아 성좌,ヴィシア,ja-JP,ko-KR,navy_prefix,阵营/舰名前缀,
비행갑판,飛行甲板,ja-JP,ko-KR,naval_term,航海/军事术语,
사령장관,司令長官,ja-JP,ko-KR,rank,军衔,
사르데냐 제국,サディア帝国,ja-JP,ko-KR,navy_prefix,阵营/舰名前缀,
사쿠라 엠파이어,重桜,ja-JP,ko-KR,navy_prefix,阵营/舰名前缀,
서약,誓約,ja-JP,ko-KR,game_term,游戏术语,
서약의 반지,誓約の指輪,ja-JP,ko-KR,game_term,游戏术语,
석유,石油,ja-JP,ko-KR,game_term,游戏术语,
선봉함대,前衛,ja-JP,ko-KR,naval_term,航海/军事术语,
선체,船体,ja-JP,ko-KR,naval_term,航海/军事术语,
세이렌,セイレーン,ja-JP,ko-KR,navy_prefix,阵营/舰名前缀,
소나,ソナー,ja-JP,ko-KR,naval_term,航海/军事术语,
소령,少佐,ja-JP,ko-KR,rank,军衔,
소위,少尉,ja-JP,ko-KR,rank,军衔,
소장,少将,ja-JP,ko-KR,rank,军衔,
소해정,掃海艇,ja-JP,ko-KR,hull_type,舰种,
속력,速力,ja-JP,ko-KR,naval_term,航海/军事术语,
수뢰전대,水雷戦隊,ja-JP,ko-KR,naval_term,航海/军事术语,
수상기,水上機,ja-JP,ko-KR,naval_term,航海/军事术语,
수상기모함,水上機母艦,ja-JP,ko-KR,hull_type,舰种,
수송선단,船団,ja-JP,ko-KR,naval_term,航海/军事术语,
수송함,輸送艦,ja-JP,ko-KR,hull_type,舰种,
숙소,寮,ja-JP,ko-KR,game_term,游戏术语,
순양전함,巡洋戦艦,ja-JP,ko-KR,hull_type,舰种,
스킬,スキル,ja-JP,ko-KR,game_term,游戏术语,
승조원,乗員,ja-JP,ko-KR,naval_term,航海/军事术语,
시제형 부린,試作型ブリ,ja-JP,ko-KR,game_term,游戏术语,
아이리스 리브르,アイリス,ja-JP,ko-KR,navy_prefix,阵营/舰名前缀,
어뢰,魚雷,ja-JP,ko-KR,naval_term,航海/军事术语,
어뢰발사관,発射管,ja-JP,ko-KR,naval_term,航海/军事术语,
어뢰순양함,重雷装巡洋艦,ja-JP,ko-KR,hull_type,舰种,
어뢰정,水雷艇,ja-JP,ko-KR,hull_type,舰种,
연돌,煙突,ja-JP,ko-KR,naval_term,航海/军事术语,
연습전,演習,ja-JP,ko-KR,game_term,游戏术语,
연합함대,連合艦隊,ja-JP,ko-KR,navy_prefix,阵营/舰名前缀,
원수,元帥,ja-JP,ko-KR,rank,军衔,
위탁,委託,ja-JP,ko-KR,game_term,游戏术语,
이글 유니온,白鷹,ja-JP,ko-KR,navy_prefix,阵营/舰名前缀,
자매함,姉妹艦,ja-JP,ko-KR,naval_term,航海/军事术语,
자재,資材,ja-JP,ko-KR,game_term,游戏术语,
자침,自沈,ja-JP,ko-KR,naval_term,航海/军事术语,
잠수함,潜水艦,ja-JP,ko-KR,hull_type,舰种,
잠수항모,潜水空母,ja-JP,ko-KR,hull_type,舰种,
장갑,装甲,ja-JP,ko-KR,naval_term,航海/军事术语,
장비,装備,ja-JP,ko-KR,game_term,游戏术语,
전대,戦隊,ja-JP,ko-KR,naval_term,航海/军事术语,
전투기,戦闘機,ja-JP,ko-KR,naval_term,航海/军事术语,
전함,戦艦,ja-JP,ko-KR,hull_type,舰种,
정규항공모함,正規空母,ja-JP,ko-KR,hull_type,舰种,
정찰,偵察,ja-JP,ko-KR,naval_term,航海/军事术语,
정찰기,偵察機,ja-JP,ko-KR,naval_term,航海/军事术语,
조선소,造船所,ja-JP,ko-KR,naval_term,航海/军事术语,
주력함대,主力艦隊,ja-JP,ko-KR,naval_term,航海/军事术语,
주포,主砲,ja-JP,ko-KR,naval_term,航海/军事术语,
중령,中佐,ja-JP,ko-KR,rank,军衔,
중순양함,重巡洋艦,ja-JP,ko-KR,hull_type,舰种,
중위,中尉,ja-JP,ko-KR,rank,军衔,
중장,中将,ja-JP,ko-KR,rank,军衔,
진수,進水,ja-JP,ko-KR,naval_term,航海/军事术语,
참모장,参謀長,ja-JP,ko-KR,rank,军衔,
초계,哨戒,ja-JP,ko-KR,naval_term,航海/军事术语,
출격,出撃,ja-JP,ko-KR,naval_term,航海/军事术语,
취역,就役,ja-JP,ko-KR,naval_term,航海/军事术语,
캐터펄트,カタパルト,ja-JP,ko-KR,naval_term,航海/军事术语,
탄막,弾幕,ja-JP,ko-KR,game_term,游戏术语,
탐조등,探照灯,ja-JP,ko-KR,naval_term,航海/军事术语,
포탑,砲塔,ja-JP,ko-KR,naval_term,航海/军事术语,
포함,砲艦,ja-JP,ko-KR,hull_type,舰种,
폭뢰,爆雷,ja-JP,ko-KR,naval_term,航海/军事术语,
한계돌파,限界突破,ja-JP,ko-KR,game_term,游戏术语,
함교,艦橋,ja-JP,ko-KR,naval_term,航海/军事术语,
함대,艦隊,ja-JP,ko-KR,naval_term,航海/军事术语,
함미,艦尾,ja-JP,ko-KR,naval_term,航海/军事术语,
함수,艦首,ja-JP,ko-KR,naval_term,航海/军事术语,
함재기,艦載機,ja-JP,ko-KR,naval_term,航海/军事术语,
함포사격,艦砲射撃,ja-JP,ko-KR,naval_term,航海/军事术语,
항공모함,航空母艦,ja-JP,ko-KR,hull_type,舰种,
항공순양함,航空巡洋艦,ja-JP,ko-KR,hull_type,舰种,
항공전함,航空戦艦,ja-JP,ko-KR,hull_type,舰种,
항속거리,航続距離,ja-JP,ko-KR,naval_term,航海/军事术语,
형,型,ja-JP,ko-KR,naval_term,航海/军事术语,
호위,護衛,ja-JP,ko-KR,naval_term,航海/军事术语,
호위항공모함,護衛空母,ja-JP,ko-KR,hull_type,舰种,
下水,進水,ja-JP,zh-CN,naval_term,航海/军事术语,
东煌,東煌,ja-JP,zh-CN,navy_prefix,阵营/舰名前缀,
中佐（中校）,中佐,ja-JP,zh-CN,rank,军衔,
主力舰队（后排）,主力艦隊,ja-JP,zh-CN,naval_term,航海/军事术语,
主炮,主砲,ja-JP,zh-CN,naval_term,航海/军事术语,
侦察,偵察,ja-JP,zh-CN,naval_term,航海/军事术语,
侦察机,偵察機,ja-JP,zh-CN,naval_term,航海/军事术语,
俯冲轰炸机,急降下爆撃機,ja-JP,zh-CN,naval_term,航海/军事术语,
元帅,元帥,ja-JP,zh-CN,rank,军衔,
先锋舰队（前排）,前衛,ja-JP,zh-CN,naval_term,航海/军事术语,
出击,出撃,ja-JP,zh-CN,naval_term,航海/军事术语,
击沉,撃沈,ja-JP,zh-CN,naval_term,航海/军事术语,
副炮,副砲,ja-JP,zh-CN,naval_term,航海/军事术语,
北方联合,北方連合,ja-JP,zh-CN,navy_prefix,阵营/舰名前缀,
参谋长,参謀長,ja-JP,zh-CN,rank,军衔,
反潜,対潜,ja-JP,zh-CN,naval_term,航海/军事术语,
司令长官,司令長官,ja-JP,zh-CN,rank,军衔,
后宅,寮,ja-JP,zh-CN,game_term,游戏术语,
图纸,図面,ja-JP,zh-CN,naval_term,航海/军事术语,
塞壬,セイレーン,ja-JP,zh-CN,navy_prefix,阵营/舰名前缀,
声呐,ソナー,ja-JP,zh-CN,naval_term,航海/军事术语,
大佐（上校）,大佐,ja-JP,zh-CN,rank,军衔,
大尉（上尉）,大尉,ja-JP,zh-CN,rank,军衔,
姐妹舰,姉妹艦,ja-JP,zh-CN,naval_term,航海/军事术语,
委托,委託,ja-JP,zh-CN,game_term,游戏术语,
封锁,封鎖,ja-JP,zh-CN,naval_term,航海/军事术语,
少佐（少校）,少佐,ja-JP,zh-CN,rank,军衔,
巡逻,哨戒,ja-JP,zh-CN,naval_term,航海/军事术语,
布里,ブリ,ja-JP,zh-CN,game_term,游戏术语,
干船坞,乾ドック,ja-JP,zh-CN,naval_term,航海/军事术语,
弹射器,カタパルト,ja-JP,zh-CN,naval_term,航海/军事术语,
弹幕,弾幕,ja-JP,zh-CN,game_term,游戏术语,
战列巡洋舰,巡洋戦艦,ja-JP,zh-CN,hull_type,舰种,
战列舰,戦艦,ja-JP,zh-CN,hull_type,舰种,
战斗机,戦闘機,ja-JP,zh-CN,naval_term,航海/军事术语,
战队,戦隊,ja-JP,zh-CN,naval_term,航海/军事术语,
扫雷艇,掃海艇,ja-JP,zh-CN,hull_type,舰种,
技能,スキル,ja-JP,zh-CN,game_term,游戏术语,
护航,護衛,ja-JP,zh-CN,naval_term,航海/军事术语,
护航航空母舰,護衛空母,ja-JP,zh-CN,hull_type,舰种,
撒丁帝国,サディア帝国,ja-JP,zh-CN,navy_prefix,阵营/舰名前缀,
旗舰,旗艦,ja-JP,zh-CN,naval_term,航海/军事术语,
服役,就役,ja-JP,zh-CN,naval_term,航海/军事术语,
机动部队,機動部隊,ja-JP,zh-CN,naval_term,航海/军事术语,
机枪,機銃,ja-JP,zh-CN,naval_term,航海/军事术语,
标准排水量,基準排水量,ja-JP,zh-CN,naval_term,航海/军事术语,
桅杆,マスト,ja-JP,zh-CN,naval_term,航海/军事术语,
正规航空母舰,正規空母,ja-JP,zh-CN,hull_type,舰种,
武装,兵装,ja-JP,zh-CN,naval_term,航海/军事术语,
水上机母舰,水上機母艦,ja-JP,zh-CN,hull_type,舰种,
水上飞机,水上機,ja-JP,zh-CN,naval_term,航海/军事术语,
水雷战队,水雷戦隊,ja-JP,zh-CN,naval_term,航海/军事术语,
泛用型布里,汎用型ブリ,ja-JP,zh-CN,game_term,游戏术语,
深水炸弹,爆雷,ja-JP,zh-CN,naval_term,航海/军事术语,
满载排水量,満載排水量,ja-JP,zh-CN,naval_term,航海/军事术语,
演习,演習,ja-JP,zh-CN,game_term,游戏术语,
潜水航母,潜水空母,ja-JP,zh-CN,hull_type,舰种,
潜艇,潜水艦,ja-JP,zh-CN,hull_type,舰种,
炮塔,砲塔,ja-JP,zh-CN,naval_term,航海/军事术语,
炮舰,砲艦,ja-JP,zh-CN,hull_type,舰种,
烟囱,煙突,ja-JP,zh-CN,naval_term,航海/军事术语,
物资,資材,ja-JP,zh-CN,game_term,游戏术语,
白鹰,白鷹,ja-JP,zh-CN,navy_prefix,阵营/舰名前缀,
皇家,ロイヤル,ja-JP,zh-CN,navy_prefix,阵营/舰名前缀,
秘书舰,秘書艦,ja-JP,zh-CN,game_term,游戏术语,
突破,限界突破,ja-JP,zh-CN,game_term,游戏术语,
级,級,ja-JP,zh-CN,naval_term,航海/军事术语,
续航距离,航続距離,ja-JP,zh-CN,naval_term,航海/军事术语,
维修舰,工作艦,ja-JP,zh-CN,hull_type,舰种,
维希教廷,ヴィシア,ja-JP,zh-CN,navy_prefix,阵营/舰名前缀,
联合舰队,連合艦隊,ja-JP,zh-CN,navy_prefix,阵营/舰名前缀,
自沉,自沈,ja-JP,zh-CN,naval_term,航海/军事术语,
自由鸢尾,アイリス,ja-JP,zh-CN,navy_prefix,阵营/舰名前缀,
航空巡洋舰,航空巡洋艦,ja-JP,zh-CN,hull_type,舰种,
航空战列舰,航空戦艦,ja-JP,zh-CN,hull_type,舰种,
航空母舰,航空母艦,ja-JP,zh-CN,hull_type,舰种,
航速,速力,ja-JP,zh-CN,naval_term,航海/军事术语,
舰员,乗員,ja-JP,zh-CN,naval_term,航海/军事术语,
舰尾,艦尾,ja-JP,zh-CN,naval_term,航海/军事术语,
舰桥,艦橋,ja-JP,zh-CN,naval_term,航海/军事术语,
舰炮射击,艦砲射撃,ja-JP,zh-CN,naval_term,航海/军事术语,
舰载机,艦載機,ja-JP,zh-CN,naval_term,航海/军事术语,
舰队,艦隊,ja-JP,zh-CN,naval_term,航海/军事术语,
舰首,艦首,ja-JP,zh-CN,naval_term,航海/军事术语,
船坞,ドック,ja-JP,zh-CN,naval_term,航海/军事术语,
节,ノット,ja-JP,zh-CN,naval_term,航海/军事术语,
装备,装備,ja-JP,zh-CN,game_term,游戏术语,
誓约,誓約,ja-JP,zh-CN,game_term,游戏术语,
誓约之戒,誓約の指輪,ja-JP,zh-CN,game_term,游戏术语,
试作型布里,試作型ブリ,ja-JP,zh-CN,game_term,游戏术语,
超巡洋舰,超甲型巡洋艦,ja-JP,zh-CN,hull_type,舰种,
轻型航空母舰,軽空母,ja-JP,zh-CN,hull_type,舰种,
轻巡洋舰,軽巡洋艦,ja-JP,zh-CN,hull_type,舰种,
运输舰,輸送艦,ja-JP,zh-CN,hull_type,舰种,
运输船队,船団,ja-JP,zh-CN,naval_term,航海/军事术语,
造船厂,造船所,ja-JP,zh-CN,naval_term,航海/军事术语,
重巡洋舰,重巡洋艦,ja-JP,zh-CN,hull_type,舰种,
重樱,重桜,ja-JP,zh-CN,navy_prefix,阵营/舰名前缀,
钻石,ダイヤ,ja-JP,zh-CN,game_term,游戏术语,
铁血,鉄血,ja-JP,zh-CN,navy_prefix,阵营/舰名前缀,
防空炮,高角砲,ja-JP,zh-CN,naval_term,航海/军事术语,
雷达,レーダー,ja-JP,zh-CN,naval_term,航海/军事术语,
风帆舰,帆船,ja-JP,zh-CN,hull_type,舰种,
飞行甲板,飛行甲板,ja-JP,zh-CN,naval_term,航海/军事术语,
首舰,ネームシップ,ja-JP,zh-CN,naval_term,航海/军事术语,
驱逐舰,駆逐艦,ja-JP,zh-CN,hull_type,舰种,
鱼雷,魚雷,ja-JP,zh-CN,naval_term,航海/军事术语,
鱼雷发射管,発射管,ja-JP,zh-CN,naval_term,航海/军事术语,
鱼雷巡洋舰,重雷装巡洋艦,ja-JP,zh-CN,hull_type,舰种,
鱼雷机,雷撃機,ja-JP,zh-CN,naval_term,航海/军事术语,
鱼雷艇,水雷艇,ja-JP,zh-CN,hull_type,舰种,
