category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
04_story_title,剧情标题,StoryIndex.main.31140,正义实现委员会的副委员长（1）,正義実現委員会の副委員長（１）,實現正義部的副部長（１）,Justice Task Force Vice President Part 1,정의실현부의 부부장 1,รองหัวหน้าชมรมทวงความยุติธรรม 1,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31150,正义实现委员会的副委员长（2）,正義実現委員会の副委員長（２）,實現正義部的副部長（２）,Justice Task Force Vice President Part 2,정의실현부의 부부장 2,รองหัวหน้าชมรมทวงความยุติธรรม 2,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31160,小小的间隙,小さな隙間,小小的閒隙,Crack in the Surface,작은 틈새,โอกาสเล็กๆ,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31170,圣三一的叛徒,トリニティの裏切り者,三一的叛徒,Trinity's Traitor,트리니티의 배신자,คนทรยศในทรีนิตี้,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.2,Vol.3 伊甸条约篇 第2章,Vol.3 エデン条約編 2章,Vol.3 伊甸條約篇 第2章,Vol.3 Eden Treaty Chapter 2,Vol.3 에덴 조약편 2장,Vol.3 สนธิสัญญาเอเดน ตอนที่ 2,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32010,巨大的怪物,巨大な怪物,巨大的怪物,The Great Leviathan,거대한 괴물,ปีศาจยักษ์,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32020,修女会,シスターフッド,修女會,The Sisterhood,시스터후드,ชมรมซิสเตอร์,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32030,深夜密会,深夜の密会,深夜密會,Secret Society,비밀 모임,การประชุมลับ,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32040,泳装派对,水着パーティー,泳裝派對,Swimsuit Symposium,수영복 좌담회,เสวนาชุดว่ายน้ำ,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32050,深夜的大骚动（1）,真夜中の大騒ぎ（１）,深夜的大騷動（１）,Midnight Commotion Part 1,한밤중의 대소동 1,โกลาหลกลางดึก (1),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32060,深夜的大骚动（2）,真夜中の大騒ぎ（２）,深夜的大騷動（２）,Midnight Commotion Part 2,한밤중의 대소동 2,โกลาหลกลางดึก (2),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32070,全新的视角,新しい視点,嶄新的觀點,A New Perspective,새로운 관점,มุมมองใหม่,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32080,微明的希望,差し込む希望,浮現的希望,A Glimmer of Hope,보이기 시작하는 희망,ความหวังเริ่มปรากฏ,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32090,黑手,黒い手,黑手,A Shadowy Reach,검은 손길,การมาถึงของเงามืด,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32100,第2次特别学力考试（1）,第2次特別学力試験（１）,第2次特別學力測驗（１）,The Second Exam Part 1,제2차 평가 시험 1,การสอบประเมินครั้งที่ 2 (1),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32110,第2次特别学力考试（2）,第2次特別学力試験（２）,第2次特別學力測驗（２）,The Second Exam Part 2,제2차 평가 시험 2,การสอบประเมินครั้งที่ 2 (2),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32120,重回原点,再び原点へと,再次回到原點,Back to Square One,다시 원점으로,กลับไปยังจุดเริ่มต้น,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32130,即使如此,それでも,即使如此,In Spite of Everything,그럼에도 불구하고,ถึงจะอย่างนั้นก็เถอะ,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32140,坦白,こくはく,坦承,A Confession,고백,สารภาพ,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32150,全面开战,火蓋は切られて,全面開戰,Lighting the Fuse,시작되는 습격,เริ่มบุกรุก,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32160,激战,激戦,激戰,A Fearsome Clash,격전,การทะเลาะอย่างรุนแรง,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32170,就算是这样的世界（1）,そんな世界も（１）,就算是這樣的世界（１）,The Way of the World Part 1,그런 세계 1,โลกแบบนั้น (1),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32180,就算是这样的世界（2）,そんな世界も（２）,就算是這樣的世界（２）,The Way of the World Part 2,그런 세계 2,โลกแบบนั้น (2),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32190,第3次特别学力考试,第3次特別学力試験,第3次特別學力測驗,The Third Exam,제3차 평가 시험,การสอบประเมินครั้งที่ 3,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.32200,尾声,エピローグ,尾聲,Epilogue,에필로그,บทส่งท้าย,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.3,Vol.3 伊甸条约篇 第3章,Vol.3 エデン条約編 3章,Vol.3 伊甸條約篇 第3章,Vol.3 Eden Treaty Chapter 3,Vol.3 에덴 조약편 3장,Vol.3 สนธิสัญญาเอเดน ตอนที่ 3,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33010,事后分析（1）,ポストモーテム（１）,事後分析（１）,Postmortem Part 1,포스트모템 1,หาความจริง (1),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33020,事后分析（２）,ポストモーテム（２）,事後分析（２）,Postmortem Part 2,포스트모템 2,หาความจริง (2),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33030,事后分析（３）,ポストモーテム（３）,事後分析（３）,Postmortem Part 3,포스트모템 3,หาความจริง (3),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33040,在那之后,それから,在那之後,What Comes Next,그 후의 이야기들,เรื่องราวหลังจากนั้น,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33050,伊甸条约签订仪式（1）,エデン条約調印式（１）,伊甸園條約簽約儀式（１）,Eden Treaty Signing Ceremony Part 1,,พิธีลงนามสนธิสัญญาเอเดน (1),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33060,伊甸条约签订仪式（2）,エデン条約調印式（２）,伊甸園條約簽約儀式（２）,Eden Treaty Signing Ceremony Part 2,에덴조약 조인식 2,พิธีลงนามสนธิสัญญาเอเดน (2),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33070,染上战火与灰烬之日（１）,火と灰に染まる日（１）,染上火與灰燼之日（１）,Day of Fire and Ash Part 1,불과 재의 날 1,วันแห่งการมอดไหม้และเถ้าถ่าน (1),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33080,染上战火与灰烬之日（２）,火と灰に染まる日（２）,染上火與灰燼之日（２）,Day of Fire and Ash Part 2,불과 재의 날 2,วันแห่งการมอดไหม้และเถ้าถ่าน (2),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33090,憎恶的见证,憎悪の確認,憎惡的見證,Bearing Witness to Hatred,증오의 확인,ความเกลียดชังที่ได้เห็น,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33100,甜蜜的谎言,甘い嘘,甜蜜的謊言,Sweet Lies,달콤한 거짓,คำโกหกแสนหวาน,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33110,加速的混乱（1）,加速する混乱（１）,加速的混亂（１）,Aggravated Confusion Part 1,가중되는 혼란 1,ความสับสนที่เพิ่มขึ้น (1),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33120,加速的混乱（2）,加速する混乱（２）,加速的混亂（２）,Aggravated Confusion Part 2,가중되는 혼란 2,ความสับสนที่เพิ่มขึ้น (2),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33130,遥不可及的彼岸,届かない向こう側,遙不可及的另一側,A Side Beyond Reach,닿을 수 없는 저쪽,สิ่งที่ไม่อาจไขว่คว้า,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33140,于黑暗中,暗闇の中で,於黑暗之中,A Light in the Darkness,어둠 속의 빛,แสงสว่างท่ามกลางความมืดมิด,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33150,对第五条古则的回答,五つ目の古則への答え,對第五項古則的回答,In Response to the Fifth Topic,다섯 번째 화두의 대답,คำตอบของกฎโบราณข้อที่ 5,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33160,碎片零落,いくつかの欠片たち,數個碎片,Bits and Pieces,편린들,ส่วนเล็กๆ น้อยๆ,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33170,憎恨的真面目,憎しみの正体,憎恨的真相,The Embodiment of Hate,증오의 정체,ตัวตนของความเกลียดชัง,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33180,不再迷惘,迷わずに,毫無迷惘,Without a Moment's Hesitation,흔들리지 않고,ไม่หวั่นไหว,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33190,我们的故事,私たちの物語,我們的故事,Our Stories,우리들의 이야기를,เรื่องราวของพวกเรา,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33200,乐园之名为（1）,楽園の名前は（１）,樂園之名為（１）,The Name of Paradise Part 1,낙원의 이름 1,นามแห่งสวรรค์ (1),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33210,乐园之名为（2）,楽園の名前は（２）,樂園之名為（２）,The Name of Paradise Part 2,낙원의 이름 2,นามแห่งสวรรค์ (2),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33220,乐园之名为（3）,楽園の名前は（３）,樂園之名為（３）,The Name of Paradise Part 3,낙원의 이름 3,นามแห่งสวรรค์ (3),story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33230,在古圣堂地下,古聖堂の地下に,於古教堂的地下,Below the Old Cathedral,고성당의 지하,ชั้นใต้ดินของวิหารโบราณ,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.33240,谁的憎恨,誰の憎しみ,誰的憎恨,Hatred That Is Not Our Own,우리의 것이 아닌 증오,ความเกลียดชังที่เราไม่ได้เป็นเจ้าของ,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.0,总力战,総力戦,總力戰,Total Assault,총력전,สงครามเต็มพลัง,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.200,总力战,総力戦,總力戰,Total Assault Mission Briefing,총력전 임무 브리핑,สรุปภารกิจเรดบอส,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.201,薇娜：痛感差异的静观理解者,ビナー：違いを痛感する静観の理解者,薇娜：深感不同的靜觀理解者,Binah: The Contemplator of Disparity,"비나, 다름을 통감하는 숙고의 이해자",บีนาห์ ผู้ที่เข้าใจในความแตกต่าง,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.202,赫赛德：以慈悲之苦痛定罪的审判者,ケセド： 慈悲深き苦痛をもって断罪する裁定者,赫賽德：以慈悲的痛苦定罪的審判者,"Chesed, the Merciful Arbitrator","헤세드, 자비로운 고통으로 정죄하는 심판자",เชเซ็ด ผู้พิพากษาด้วยทุกข์ที่การุณ,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.203,被复制的喜悦,複製された歓喜,複製的喜悅,Replicants of Delight,환희의 복제,การคัดลอกความสุข,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.204,太古的教义,太古の教義,太古的教義,Ancient Doctrines,고대의 교의,ความรู้โบราณ,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.205,前往回转寿司战队的大本营！,カイテンジャーの本拠地へ向かえ！,前往凱坦澤的根據地！,Raiding the Kaitenger!,카이텐져 본거지 습격!,บุกโจมตีศูนย์บัญชาการไคเทนเจอร์!,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.206,记号的世界,記号の世界,記號的世界,The World of Signs,기호의 세계,โลกแห่งสัญลักษณ์,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.207,霍德：由光芒证明的荣耀,ホド：輝きに証明されし栄光,霍德：由光芒證明的榮耀,Hod: Glory Through Splendor,"호드, 찬란함으로 증거하는 영광",HOD เกียรติภูมิที่พิสูจน์ด้วยความงดงาม,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.208,The show must go on.,The show must go on.,The show must go on.,The Show Must Go On,쇼는 계속되어야 한다,การแสดงต้องดำเนินต่อไป,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.209,关于不朽,不滅性について,,,불멸성에 대한 담론,,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.210,海边的袭击者,浜辺の襲撃者,,,흉악한 범죄자의 해변가 습격,,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.211,怪谈的末路,怪談の末路,,,매듭짓지 못한 괴담의 말로,,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.1,工作剧情,お仕事ストーリー,工作劇情,Work Stories,작업극,เนื้อเรื่องงาน,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.100,特别委托,特別依頼,特殊任務,Let the Commissions Begin,"특별의뢰, 시작합니다.",คำขอพิเศษ ได้เริ่มขึ้นแล้ว,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.101,特别委托・悬赏通缉,特別依頼・指名手配,特殊任務．懸賞通緝,Let the Arrests Begin,"현상수배, 시작합니다.",ประกาศจับ ได้เริ่มขึ้นแล้ว,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.102,特别委托・信用点回收,特別依頼・クレジット回収,特殊任務．信用貨幣回收,Commission: Item Retrieval,물건 회수 특별의뢰,ภารกิจพิเศษ รับของขวัญ,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.103,特别委托・据点防御,特別依頼・拠点防衛,特殊任務．據點防禦,Commission: Base Defense Complete,거점 방어 특별의뢰,ภารกิจพิเศษ ป้องกันฐาน,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.300,联合战术对抗战,合同戦術対抗戦,聯合戰術大賽,The Allied Tournament!,전술경연 대회!,งานประกวดกลยุทธ์สหพันธ์!,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.400,欢迎光临“天使24”便利店！,コンビニ「エンジェル24」へようこそ！,歡迎光臨「天使 24」便利商店！,Welcome to the Angel 24 Convenience Store!,편의점 <엔젤 24>에 어서 오세요!,ร้าน <เอ็นเจล 24> ยะ...ยินดีต้อนรับค่ะ!,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.500,所谓制造室,クラフトチェンバーとは,何謂工藝室,What Is the Crafting Chamber?,크래프트 챔버란?,คราฟต์แชมเบอร์คืออะไร?,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.600,联合火力演习,合同火力演習,綜合戰術考試,Joint Firing Drill,종합전술시험,สอบประมวล,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.700,众人拾柴火焰高？,共存共栄すれば書類もまた軽し？,人多好辦事？,Many a Mickle Makes a Muckle,백지장도 맞들면 낫다.,รวมพลังเพื่องานที่เสร็จเร็วขึ้น,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.800,葵的登场,アオイ登場,碧的登場,Aoi's Appearance,아오이의 등장,อาโออิปรากฏตัว,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.801,大决战,大決戦,大決戰,Grand Assault Mission Briefing,대결전 임무 브리핑,สรุปภารกิจแกรนด์เรดบอส,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.2,制约解除决战,制約解除決戦,解除限制決戰,Restriction Release Decisive Battle,제약해제결전,การต่อสู้เพื่อเลิกข้อจำกัด,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.other.901,赛特的愤怒,セトの憤怒,賽特的憤怒,Seth's Wrath,세트의 분노,ความโกรธของเซท,story-viewer:otherStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.0,五尘来降,五塵来降,五塵來降,Descent of the Five Senses,오욕내강,อย่างตัวอย่าง,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003805,祭典的准备,祭りの準備,準備節慶,,축제를 준비합시다!,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003810,异变,異変,異變,,상서롭지 않은 이변,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003820,谣言,噂,謠言,,소문에 대처하는 자세,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003830,大人和孩子、孩子，以及孩子。,大人と子供、子供、子供。,大人與小孩，小孩，還有小孩。,,"어른과 아이, 아이, 아이.",,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003840,过去与现在的分界线（1）,過去と今の境界線（１）,過去與現在的分界線（１）,,과거와 현재를 나누는 경계 1,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003845,过去与现在的分界线（2）,過去と今の境界線（２）,過去與現在的分界線（２）,,과거와 현재를 나누는 경계 2,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003850,,君の世界との交差点（１）,,,너의 세계를 지나칠 때 1,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003855,,君の世界との交差点（２）,,,너의 세계를 지나칠 때 2,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003860,,遠い未来の私たち,,,그 먼 훗날의 우리,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003870,,そこに行けば麒麟に会えるだろうか。,,,그곳에 가면 기린을 만날 수 있을까.,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003880,,幾度道を違えたとしても（１）,,,천 번을 흔들릴 그대에게 1,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003885,,幾度道を違えたとしても（２）,,,천 번을 흔들릴 그대에게 2,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003890,,すべての面倒事を（１）,,,모든 번거로운 것들을 위하여 1,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.1003895,,すべての面倒事を（２）,,,모든 번거로운 것들을 위하여 2,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.10038100,,同じ空の下で（１）,,,같은 하늘을 머리에 이고 1,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.0,,同じ空の下で（２）,,,같은 하늘을 머리에 이고 2,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,StoryIndex.event.10038110,,月影祭,,,축제를 시작합시다!,,story-viewer:eventStoryIndex.ts
04_story_title,剧情标题,MomoTalk.10000.126,提高工作热情的方法,勤労意欲を高める方法,提高工作熱情的方法,Motivating Your Workers,근로의욕 증진 방법,วิธีเพิ่มแรงจูงใจในการทำงาน,momotalk/10000.yml
04_story_title,剧情标题,MomoTalk.10000.127,说服的技术,説得の技術,說服的技巧,Power of Persuasion,설득의 기술,เทคนิคการโน้มน้าวจิตใจ,momotalk/10000.yml
04_story_title,剧情标题,MomoTalk.10000.128,真正的领袖,真のリーダー,真正的領袖,The True Leader,진정한 리더,ผู้นำที่แท้จริง,momotalk/10000.yml
04_story_title,剧情标题,MomoTalk.10000.129,外部经营顾问的入职提议,外部経営顧問としての入社提案,外部經營顧問的入社提議,Management Consultant Job Offer,외부 경영 고문직 입사 제안,ข้อเสนอตำแหน่งที่ปรึกษา,momotalk/10000.yml
04_story_title,剧情标题,MomoTalk.10000.130,珍贵的,大切な,珍貴的,Something Very Precious and Important,엄청나게 귀중하고 중요한 것,สิ่งที่สำคัญและล้ำค่าที่สุด,momotalk/10000.yml
04_story_title,剧情标题,MomoTalk.10001.131,调节体温,体温調節,體溫調節,Temperature Control,체온 조절,การปรับอุณหภูมิร่างกาย,momotalk/10001.yml
04_story_title,剧情标题,MomoTalk.10001.132,研究最新的流行（１）,最新の流行を研究（１）,最新流行研究（１）,Trend Research 1,최신 유행 연구 1,การศึกษาแฟชั่น 1,momotalk/10001.yml
04_story_title,剧情标题,MomoTalk.10001.133,研究最新的流行（２）,最新の流行を研究（２）,最新流行研究（２）,Trend Research 2,최신 유행 연구 2,การศึกษาแฟชั่น 2,momotalk/10001.yml
04_story_title,剧情标题,MomoTalk.10001.134,时尚穿搭的完成,ファッションの完成,時尚的完成,Peak Fashion,패션의 완성,ความสมบูรณ์แบบของแฟชั่น,momotalk/10001.yml
04_story_title,剧情标题,MomoTalk.10001.135,伤,傷,傷口,Wounds,상처,บาดแผล,momotalk/10001.yml
04_story_title,剧情标题,MomoTalk.10001.136,热风,熱風,,,열풍,,momotalk/10001.yml
04_story_title,剧情标题,MomoTalk.10002.137,被禁止的研究,禁じられた研究,被禁止的研究,Forbidden Research,금지된 연구,การวิจัยต้องห้าม,momotalk/10002.yml
04_story_title,剧情标题,MomoTalk.10002.138,孤高之路,孤高の道,孤高之路,The Dignified Path,고고한 길,เส้นทางที่สง่างาม,momotalk/10002.yml
04_story_title,剧情标题,MomoTalk.10002.139,愤怒的美食家,怒りの美食家,憤怒的美食家,The Raging Epicure,분노의 미식가,นักชิมแห่งความเกรี้ยวกราด,momotalk/10002.yml
04_story_title,剧情标题,MomoTalk.10002.140,真正的美食,真の美食,真正的美食,The True Epicure,진정한 미식,นักชิมที่แท้จริง,momotalk/10002.yml
04_story_title,剧情标题,MomoTalk.10003.141,新周边！,新作グッズ！,新作周邊！,New Merch!,신상 굿즈!,สินค้าใหม่!,momotalk/10003.yml
04_story_title,剧情标题,MomoTalk.10003.142,书包的秘密,バックの秘密,背包的秘密,The Secret of the Bag,가방의 비밀,ความลับของกระเป๋า,momotalk/10003.yml
04_story_title,剧情标题,MomoTalk.10003.143,佩洛洛大人救出作战,ペロロ様救出作戦,佩洛洛大人救援作戰,Peroro Rescue Mission,페로로 님 구출 작전,ปฏิบัติการช่วยท่านเพโรโร่!,momotalk/10003.yml
04_story_title,剧情标题,MomoTalk.10003.144,烦恼咨询,お悩み相談,煩惱諮詢,A Consultation,고민 상담,ปรึกษาปัญหากวนใจ,momotalk/10003.yml
04_story_title,剧情标题,MomoTalk.10003.145,偶然的外出,偶然のおでかけ,偶然的外出,A Casual Outing,우연한 외출,การออกไปข้างนอกโดยบังเอิญ,momotalk/10003.yml
04_story_title,剧情标题,MomoTalk.10003.146,出乎意料的握手会,ゲリラ握手会,突擊握手會,Guerrilla Meet and Greet,게릴라 악수회,งานจับมือแบบกองโจร,momotalk/10003.yml
04_story_title,剧情标题,MomoTalk.10004.147,深夜会议,深夜の会議,深夜的會議,Late-Night Rendezvous,심야의 회의,การประชุมกลางดึก,momotalk/10004.yml
04_story_title,剧情标题,MomoTalk.10004.148,正当的理由,堂々たる理由,堂堂正正的理由,Reason to be Proud,당당한 이유,เหตุผลที่มีน้ำหนัก,momotalk/10004.yml
04_story_title,剧情标题,MomoTalk.10004.149,大人也好孩子也罢,大人とか子供とか,大人小孩什麼的,Someone Else's Preference,타인의 취향,ความชื่นชอบของคนอื่นๆ,momotalk/10004.yml
